"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,175,NA,NA,62,NA,NA,61,NA,NA,52,NA,NA
2021-06-30,139,NA,NA,57,NA,NA,50,NA,NA,32,NA,NA
2021-09-30,101,NA,NA,26,NA,NA,21,NA,NA,54,NA,NA
2021-12-31,272,NA,NA,217,NA,NA,4,NA,NA,51,NA,NA
2022-03-31,309,NA,NA,246,NA,NA,4,NA,NA,59,NA,NA
2022-06-30,181,NA,NA,129,NA,NA,5,NA,NA,47,NA,NA
2022-09-30,368,NA,NA,307,NA,NA,14,NA,NA,47,NA,NA
2022-12-31,247,NA,NA,183,NA,NA,16,NA,NA,48,NA,NA
2023-03-31,293,NA,NA,156,NA,NA,14,NA,NA,123,NA,NA
2023-06-30,329,NA,NA,191,NA,NA,9,NA,NA,129,NA,NA
2023-09-30,2817,NA,NA,2621,NA,NA,8,NA,NA,188,NA,NA
2023-12-31,3748,NA,NA,3443,NA,NA,20,NA,NA,285,NA,NA
2024-03-31,583,NA,NA,437,NA,NA,86,NA,NA,60,NA,NA
2024-06-30,481,NA,NA,280,NA,NA,175,NA,NA,26,NA,NA
2024-09-30,823,NA,NA,350,NA,NA,414,NA,NA,59,NA,NA
2024-12-31,3024,NA,NA,1047,NA,NA,1748,NA,NA,229,NA,NA
2025-03-31,2862,NA,NA,1011,NA,NA,1697,NA,NA,154,NA,NA
2025-06-30,2057,2057,2057,722,722,722,1335,1335,1335,0,0,0
2025-09-30,NA,3748,481,NA,1315.53524550316,168.829363150219,NA,2432.46475449684,312.170636849781,NA,0,0
2025-12-30,NA,3748,481,NA,1315.53524550316,168.829363150219,NA,2432.46475449684,312.170636849781,NA,0,0
2026-03-30,NA,3158.90770763292,481,NA,1108.76585557169,168.829363150219,NA,2050.14185206123,312.170636849781,NA,0,0
2026-06-30,NA,2490,481,NA,873.981526494895,168.829363150219,NA,1616.0184735051,312.170636849781,NA,0,0
2026-09-30,NA,2490,481,NA,873.981526494895,168.829363150219,NA,1616.0184735051,312.170636849781,NA,0,0
