"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,276,NA,NA,51,NA,NA,76,NA,NA,149,NA,NA
2021-06-30,268,NA,NA,51,NA,NA,52,NA,NA,165,NA,NA
2021-09-30,233,NA,NA,46,NA,NA,39,NA,NA,148,NA,NA
2021-12-31,208,NA,NA,46,NA,NA,52,NA,NA,110,NA,NA
2022-03-31,477,NA,NA,104,NA,NA,56,NA,NA,317,NA,NA
2022-06-30,438,NA,NA,71,NA,NA,77,NA,NA,290,NA,NA
2022-09-30,567,NA,NA,54,NA,NA,38,NA,NA,475,NA,NA
2022-12-31,853,NA,NA,68,NA,NA,69,NA,NA,716,NA,NA
2023-03-31,5074,NA,NA,105,NA,NA,340,NA,NA,4629,NA,NA
2023-06-30,4672,NA,NA,167,NA,NA,1222,NA,NA,3283,NA,NA
2023-09-30,2121,NA,NA,71,NA,NA,1115,NA,NA,935,NA,NA
2023-12-31,4068,NA,NA,103,NA,NA,2406,NA,NA,1559,NA,NA
2024-03-31,3345,NA,NA,28,NA,NA,1250,NA,NA,2067,NA,NA
2024-06-30,829,NA,NA,23,NA,NA,515,NA,NA,291,NA,NA
2024-09-30,508,NA,NA,3,NA,NA,222,NA,NA,283,NA,NA
2024-12-31,1138,NA,NA,9,NA,NA,355,NA,NA,774,NA,NA
2025-03-31,590,NA,NA,4,NA,NA,301,NA,NA,285,NA,NA
2025-06-30,407,407,407,15,15,15,392,392,392,0,0,0
2025-09-30,NA,1937,407,NA,71.3882063882064,15,NA,1865.61179361179,392,NA,0,0
2025-12-30,NA,1050,407,NA,38.6977886977887,15,NA,1011.30221130221,392,NA,0,0
2026-03-30,NA,1050,407,NA,38.6977886977887,15,NA,1011.30221130221,392,NA,0,0
2026-06-30,NA,1050,407,NA,38.6977886977887,15,NA,1011.30221130221,392,NA,0,0
2026-09-30,NA,1050,407,NA,38.6977886977887,15,NA,1011.30221130221,392,NA,0,0
