"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,32,NA,NA,4,NA,NA,14,NA,NA,14,NA,NA
2021-06-30,22,NA,NA,2,NA,NA,11,NA,NA,9,NA,NA
2021-09-30,20,NA,NA,3,NA,NA,9,NA,NA,8,NA,NA
2021-12-31,15,NA,NA,2,NA,NA,6,NA,NA,7,NA,NA
2022-03-31,19,NA,NA,2,NA,NA,10,NA,NA,7,NA,NA
2022-06-30,16,NA,NA,1,NA,NA,6,NA,NA,9,NA,NA
2022-09-30,18,NA,NA,0,NA,NA,11,NA,NA,7,NA,NA
2022-12-31,22,NA,NA,4,NA,NA,15,NA,NA,3,NA,NA
2023-03-31,30,NA,NA,3,NA,NA,6,NA,NA,21,NA,NA
2023-06-30,33,NA,NA,4,NA,NA,9,NA,NA,20,NA,NA
2023-09-30,52,NA,NA,4,NA,NA,8,NA,NA,40,NA,NA
2023-12-31,269,NA,NA,14,NA,NA,115,NA,NA,140,NA,NA
2024-03-31,166,NA,NA,3,NA,NA,109,NA,NA,54,NA,NA
2024-06-30,111,NA,NA,3,NA,NA,63,NA,NA,45,NA,NA
2024-09-30,28,NA,NA,1,NA,NA,14,NA,NA,13,NA,NA
2024-12-31,160,NA,NA,19,NA,NA,87,NA,NA,54,NA,NA
2025-03-31,193,NA,NA,31,NA,NA,103,NA,NA,59,NA,NA
2025-06-30,102,102,102,27,27,27,75,75,75,0,0,0
2025-09-30,NA,269,28,NA,71.2058823529412,7.41176470588235,NA,197.794117647059,20.5882352941176,NA,0,0
2025-12-30,NA,231.515239665282,28,NA,61.2834457937512,7.41176470588235,NA,170.231793871531,20.5882352941176,NA,0,0
2026-03-30,NA,132,28,NA,34.9411764705882,7.41176470588235,NA,97.0588235294118,20.5882352941176,NA,0,0
2026-06-30,NA,132,28,NA,34.9411764705882,7.41176470588235,NA,97.0588235294118,20.5882352941176,NA,0,0
2026-09-30,NA,132,28,NA,34.9411764705882,7.41176470588235,NA,97.0588235294118,20.5882352941176,NA,0,0
