"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,4066,NA,NA,2183,NA,NA,1177,NA,NA,706,NA,NA
2021-06-30,3747,NA,NA,2088,NA,NA,981,NA,NA,678,NA,NA
2021-09-30,3350,NA,NA,1922,NA,NA,849,NA,NA,579,NA,NA
2021-12-31,3393,NA,NA,1956,NA,NA,802,NA,NA,635,NA,NA
2022-03-31,4308,NA,NA,2389,NA,NA,816,NA,NA,1103,NA,NA
2022-06-30,4026,NA,NA,2153,NA,NA,801,NA,NA,1072,NA,NA
2022-09-30,5142,NA,NA,2873,NA,NA,975,NA,NA,1294,NA,NA
2022-12-31,5742,NA,NA,2898,NA,NA,1241,NA,NA,1603,NA,NA
2023-03-31,9713,NA,NA,2131,NA,NA,1319,NA,NA,6263,NA,NA
2023-06-30,11634,NA,NA,4039,NA,NA,2139,NA,NA,5456,NA,NA
2023-09-30,25797,NA,NA,16974,NA,NA,4462,NA,NA,4361,NA,NA
2023-12-31,44627,NA,NA,21132,NA,NA,15238,NA,NA,8257,NA,NA
2024-03-31,23814,NA,NA,7072,NA,NA,10492,NA,NA,6250,NA,NA
2024-06-30,13068,NA,NA,3379,NA,NA,7304,NA,NA,2385,NA,NA
2024-09-30,10629,NA,NA,5307,NA,NA,3562,NA,NA,1760,NA,NA
2024-12-31,28042,NA,NA,11071,NA,NA,11062,NA,NA,5909,NA,NA
2025-03-31,29100,NA,NA,11589,NA,NA,13529,NA,NA,3982,NA,NA
2025-06-30,24250,24250,24250,9474,9474,9474,14776,14776,14776,0,0,0
2025-09-30,NA,44627,10629,NA,17434.8947628866,4152.54210309278,NA,27192.1052371134,6476.45789690722,NA,0,0
2025-12-30,NA,44627,10629,NA,17434.8947628866,4152.54210309278,NA,27192.1052371134,6476.45789690722,NA,0,0
2026-03-30,NA,26285.4479392355,10629,NA,10269.2096402605,4152.54210309278,NA,16016.238298975,6476.45789690722,NA,0,0
2026-06-30,NA,23728,10629,NA,9270.06482474227,4152.54210309278,NA,14457.9351752577,6476.45789690722,NA,0,0
2026-09-30,NA,23728,10629,NA,9270.06482474227,4152.54210309278,NA,14457.9351752577,6476.45789690722,NA,0,0
