"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,1968,NA,NA,1521,NA,NA,341,NA,NA,106,NA,NA
2021-06-30,1743,NA,NA,1379,NA,NA,287,NA,NA,77,NA,NA
2021-09-30,1512,NA,NA,1215,NA,NA,205,NA,NA,92,NA,NA
2021-12-31,1584,NA,NA,1290,NA,NA,190,NA,NA,104,NA,NA
2022-03-31,2097,NA,NA,1670,NA,NA,241,NA,NA,186,NA,NA
2022-06-30,1976,NA,NA,1547,NA,NA,254,NA,NA,175,NA,NA
2022-09-30,2462,NA,NA,2010,NA,NA,288,NA,NA,164,NA,NA
2022-12-31,2444,NA,NA,1982,NA,NA,326,NA,NA,136,NA,NA
2023-03-31,2070,NA,NA,1447,NA,NA,249,NA,NA,374,NA,NA
2023-06-30,3593,NA,NA,3012,NA,NA,226,NA,NA,355,NA,NA
2023-09-30,14040,NA,NA,12688,NA,NA,714,NA,NA,638,NA,NA
2023-12-31,19741,NA,NA,14490,NA,NA,4136,NA,NA,1115,NA,NA
2024-03-31,5582,NA,NA,3543,NA,NA,1751,NA,NA,288,NA,NA
2024-06-30,3091,NA,NA,1812,NA,NA,1145,NA,NA,134,NA,NA
2024-09-30,5954,NA,NA,4487,NA,NA,1205,NA,NA,262,NA,NA
2024-12-31,12705,NA,NA,8009,NA,NA,4207,NA,NA,489,NA,NA
2025-03-31,11701,NA,NA,7306,NA,NA,4044,NA,NA,351,NA,NA
2025-06-30,6722,6722,6722,4318,4318,4318,2404,2404,2404,0,0,0
2025-09-30,NA,19741,3091,NA,12680.9934543291,1985.56054745611,NA,7060.00654567093,1105.43945254389,NA,0,0
2025-12-30,NA,13965.7240875608,3091,NA,8971.13903750185,1985.56054745611,NA,4994.58505005893,1105.43945254389,NA,0,0
2026-03-30,NA,10152,3091,NA,6521.3234156501,1985.56054745611,NA,3630.6765843499,1105.43945254389,NA,0,0
2026-06-30,NA,10152,3091,NA,6521.3234156501,1985.56054745611,NA,3630.6765843499,1105.43945254389,NA,0,0
2026-09-30,NA,10152,3091,NA,6521.3234156501,1985.56054745611,NA,3630.6765843499,1105.43945254389,NA,0,0
