"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,3,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA
2021-06-30,4,NA,NA,1,NA,NA,3,NA,NA,0,NA,NA
2021-09-30,4,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA
2022-03-31,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
2022-06-30,3,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
2022-09-30,7,NA,NA,3,NA,NA,3,NA,NA,1,NA,NA
2022-12-31,3,NA,NA,1,NA,NA,0,NA,NA,2,NA,NA
2023-03-31,7,NA,NA,0,NA,NA,4,NA,NA,3,NA,NA
2023-06-30,9,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA
2023-09-30,10,NA,NA,2,NA,NA,6,NA,NA,2,NA,NA
2023-12-31,79,NA,NA,13,NA,NA,54,NA,NA,12,NA,NA
2024-03-31,110,NA,NA,11,NA,NA,88,NA,NA,11,NA,NA
2024-06-30,72,NA,NA,1,NA,NA,65,NA,NA,6,NA,NA
2024-09-30,38,NA,NA,2,NA,NA,30,NA,NA,6,NA,NA
2024-12-31,158,NA,NA,13,NA,NA,123,NA,NA,22,NA,NA
2025-03-31,146,NA,NA,13,NA,NA,113,NA,NA,20,NA,NA
2025-06-30,116,116,116,13,13,13,103,103,103,0,0,0
2025-09-30,NA,158,10,NA,17.7068965517241,1.12068965517241,NA,140.293103448276,8.87931034482759,NA,0,0
2025-12-30,NA,158,10,NA,17.7068965517241,1.12068965517241,NA,140.293103448276,8.87931034482759,NA,0,0
2026-03-30,NA,158,10,NA,17.7068965517241,1.12068965517241,NA,140.293103448276,8.87931034482759,NA,0,0
2026-06-30,NA,158,10,NA,17.7068965517241,1.12068965517241,NA,140.293103448276,8.87931034482759,NA,0,0
2026-09-30,NA,158,10,NA,17.7068965517241,1.12068965517241,NA,140.293103448276,8.87931034482759,NA,0,0
