"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,27,NA,NA,10,NA,NA,13,NA,NA,4,NA,NA
2021-06-30,18,NA,NA,10,NA,NA,8,NA,NA,0,NA,NA
2021-09-30,40,NA,NA,26,NA,NA,13,NA,NA,1,NA,NA
2021-12-31,31,NA,NA,23,NA,NA,7,NA,NA,1,NA,NA
2022-03-31,37,NA,NA,21,NA,NA,15,NA,NA,1,NA,NA
2022-06-30,21,NA,NA,14,NA,NA,5,NA,NA,2,NA,NA
2022-09-30,19,NA,NA,14,NA,NA,4,NA,NA,1,NA,NA
2022-12-31,25,NA,NA,16,NA,NA,5,NA,NA,4,NA,NA
2023-03-31,17,NA,NA,10,NA,NA,5,NA,NA,2,NA,NA
2023-06-30,10,NA,NA,5,NA,NA,1,NA,NA,4,NA,NA
2023-09-30,137,NA,NA,130,NA,NA,5,NA,NA,2,NA,NA
2023-12-31,193,NA,NA,142,NA,NA,30,NA,NA,21,NA,NA
2024-03-31,114,NA,NA,77,NA,NA,33,NA,NA,4,NA,NA
2024-06-30,58,NA,NA,34,NA,NA,22,NA,NA,2,NA,NA
2024-09-30,13,NA,NA,8,NA,NA,5,NA,NA,0,NA,NA
2024-12-31,114,NA,NA,64,NA,NA,45,NA,NA,5,NA,NA
2025-03-31,192,NA,NA,103,NA,NA,83,NA,NA,6,NA,NA
2025-06-30,262,262,262,150,150,150,112,112,112,0,0,0
2025-09-30,NA,262,13,NA,150,7.44274809160305,NA,112,5.55725190839695,NA,0,0
2025-12-30,NA,191.515925787573,13,NA,109.646522397466,7.44274809160305,NA,81.8694033901076,5.55725190839695,NA,0,0
2026-03-30,NA,162,13,NA,92.7480916030534,7.44274809160305,NA,69.2519083969466,5.55725190839695,NA,0,0
2026-06-30,NA,162,13,NA,92.7480916030534,7.44274809160305,NA,69.2519083969466,5.55725190839695,NA,0,0
2026-09-30,NA,162,13,NA,92.7480916030534,7.44274809160305,NA,69.2519083969466,5.55725190839695,NA,0,0
