"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,84,NA,NA,10,NA,NA,32,NA,NA,42,NA,NA
2021-06-30,67,NA,NA,6,NA,NA,26,NA,NA,35,NA,NA
2021-09-30,36,NA,NA,6,NA,NA,12,NA,NA,18,NA,NA
2021-12-31,29,NA,NA,2,NA,NA,12,NA,NA,15,NA,NA
2022-03-31,39,NA,NA,4,NA,NA,24,NA,NA,11,NA,NA
2022-06-30,33,NA,NA,6,NA,NA,18,NA,NA,9,NA,NA
2022-09-30,132,NA,NA,11,NA,NA,96,NA,NA,25,NA,NA
2022-12-31,145,NA,NA,19,NA,NA,99,NA,NA,27,NA,NA
2023-03-31,186,NA,NA,10,NA,NA,75,NA,NA,101,NA,NA
2023-06-30,85,NA,NA,10,NA,NA,50,NA,NA,25,NA,NA
2023-09-30,331,NA,NA,30,NA,NA,173,NA,NA,128,NA,NA
2023-12-31,1345,NA,NA,137,NA,NA,643,NA,NA,565,NA,NA
2024-03-31,440,NA,NA,39,NA,NA,306,NA,NA,95,NA,NA
2024-06-30,184,NA,NA,18,NA,NA,108,NA,NA,58,NA,NA
2024-09-30,134,NA,NA,5,NA,NA,85,NA,NA,44,NA,NA
2024-12-31,618,NA,NA,24,NA,NA,239,NA,NA,355,NA,NA
2025-03-31,467,NA,NA,35,NA,NA,268,NA,NA,164,NA,NA
2025-06-30,436,436,436,52,52,52,384,384,384,0,0,0
2025-09-30,NA,1179.57768646495,134,NA,140.68357728481,15.9816513761468,NA,1038.89410918014,118.018348623853,NA,0,0
2025-12-30,NA,462,134,NA,55.1009174311927,15.9816513761468,NA,406.899082568807,118.018348623853,NA,0,0
2026-03-30,NA,462,134,NA,55.1009174311927,15.9816513761468,NA,406.899082568807,118.018348623853,NA,0,0
2026-06-30,NA,462,134,NA,55.1009174311927,15.9816513761468,NA,406.899082568807,118.018348623853,NA,0,0
2026-09-30,NA,462,134,NA,55.1009174311927,15.9816513761468,NA,406.899082568807,118.018348623853,NA,0,0
