"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,3,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA
2021-06-30,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
2021-09-30,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA
2021-12-31,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
2022-03-31,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA
2022-06-30,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
2022-09-30,2,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA
2022-12-31,4,NA,NA,0,NA,NA,2,NA,NA,2,NA,NA
2023-03-31,9,NA,NA,0,NA,NA,1,NA,NA,8,NA,NA
2023-06-30,10,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA
2023-09-30,11,NA,NA,2,NA,NA,2,NA,NA,7,NA,NA
2023-12-31,25,NA,NA,6,NA,NA,12,NA,NA,7,NA,NA
2024-03-31,107,NA,NA,10,NA,NA,73,NA,NA,24,NA,NA
2024-06-30,80,NA,NA,3,NA,NA,59,NA,NA,18,NA,NA
2024-09-30,118,NA,NA,11,NA,NA,67,NA,NA,40,NA,NA
2024-12-31,427,NA,NA,30,NA,NA,344,NA,NA,53,NA,NA
2025-03-31,433,NA,NA,26,NA,NA,338,NA,NA,69,NA,NA
2025-06-30,244,244,244,27,27,27,217,217,217,0,0,0
2025-09-30,NA,433,11,NA,47.9139344262295,1.2172131147541,NA,385.08606557377,9.7827868852459,NA,0,0
2025-12-30,NA,422.926733906114,11,NA,46.7992697355126,1.2172131147541,NA,376.127464170601,9.7827868852459,NA,0,0
2026-03-30,NA,409,11,NA,45.2581967213115,1.2172131147541,NA,363.741803278689,9.7827868852459,NA,0,0
2026-06-30,NA,409,11,NA,45.2581967213115,1.2172131147541,NA,363.741803278689,9.7827868852459,NA,0,0
2026-09-30,NA,409,11,NA,45.2581967213115,1.2172131147541,NA,363.741803278689,9.7827868852459,NA,0,0
