"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,8,NA,NA,1,NA,NA,6,NA,NA,1,NA,NA
2021-06-30,10,NA,NA,4,NA,NA,4,NA,NA,2,NA,NA
2021-09-30,8,NA,NA,6,NA,NA,1,NA,NA,1,NA,NA
2021-12-31,6,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA
2022-03-31,5,NA,NA,4,NA,NA,0,NA,NA,1,NA,NA
2022-06-30,10,NA,NA,5,NA,NA,3,NA,NA,2,NA,NA
2022-09-30,15,NA,NA,12,NA,NA,3,NA,NA,0,NA,NA
2022-12-31,15,NA,NA,8,NA,NA,5,NA,NA,2,NA,NA
2023-03-31,5,NA,NA,2,NA,NA,3,NA,NA,0,NA,NA
2023-06-30,9,NA,NA,6,NA,NA,2,NA,NA,1,NA,NA
2023-09-30,19,NA,NA,9,NA,NA,10,NA,NA,0,NA,NA
2023-12-31,114,NA,NA,44,NA,NA,62,NA,NA,8,NA,NA
2024-03-31,80,NA,NA,22,NA,NA,52,NA,NA,6,NA,NA
2024-06-30,34,NA,NA,8,NA,NA,22,NA,NA,4,NA,NA
2024-09-30,6,NA,NA,1,NA,NA,4,NA,NA,1,NA,NA
2024-12-31,14,NA,NA,4,NA,NA,10,NA,NA,0,NA,NA
2025-03-31,45,NA,NA,11,NA,NA,31,NA,NA,3,NA,NA
2025-06-30,39,39,39,13,13,13,26,26,26,0,0,0
2025-09-30,NA,105.421026272407,6,NA,35.1403420908022,2,NA,70.2806841816044,4,NA,0,0
2025-12-30,NA,29,6,NA,9.66666666666667,2,NA,19.3333333333333,4,NA,0,0
2026-03-30,NA,29,6,NA,9.66666666666667,2,NA,19.3333333333333,4,NA,0,0
2026-06-30,NA,29,6,NA,9.66666666666667,2,NA,19.3333333333333,4,NA,0,0
2026-09-30,NA,29,6,NA,9.66666666666667,2,NA,19.3333333333333,4,NA,0,0
