"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,311,NA,NA,302,NA,NA,8,NA,NA,1,NA,NA
2021-06-30,321,NA,NA,314,NA,NA,5,NA,NA,2,NA,NA
2021-09-30,255,NA,NA,232,NA,NA,23,NA,NA,0,NA,NA
2021-12-31,225,NA,NA,211,NA,NA,9,NA,NA,5,NA,NA
2022-03-31,453,NA,NA,430,NA,NA,16,NA,NA,7,NA,NA
2022-06-30,481,NA,NA,465,NA,NA,10,NA,NA,6,NA,NA
2022-09-30,519,NA,NA,509,NA,NA,5,NA,NA,5,NA,NA
2022-12-31,479,NA,NA,472,NA,NA,4,NA,NA,3,NA,NA
2023-03-31,467,NA,NA,428,NA,NA,1,NA,NA,38,NA,NA
2023-06-30,1921,NA,NA,1899,NA,NA,2,NA,NA,20,NA,NA
2023-09-30,1585,NA,NA,1525,NA,NA,5,NA,NA,55,NA,NA
2023-12-31,1333,NA,NA,1278,NA,NA,14,NA,NA,41,NA,NA
2024-03-31,157,NA,NA,146,NA,NA,5,NA,NA,6,NA,NA
2024-06-30,118,NA,NA,103,NA,NA,11,NA,NA,4,NA,NA
2024-09-30,1531,NA,NA,1305,NA,NA,200,NA,NA,26,NA,NA
2024-12-31,2229,NA,NA,1840,NA,NA,360,NA,NA,29,NA,NA
2025-03-31,2122,NA,NA,1762,NA,NA,341,NA,NA,19,NA,NA
2025-06-30,1142,1142,1142,1041,1041,1041,101,101,101,0,0,0
2025-09-30,NA,2229,118,NA,2031.8642732049,107.563922942207,NA,197.135726795096,10.4360770577933,NA,0,0
2025-12-30,NA,2229,118,NA,2031.8642732049,107.563922942207,NA,197.135726795096,10.4360770577933,NA,0,0
2026-03-30,NA,2229,118,NA,2031.8642732049,107.563922942207,NA,197.135726795096,10.4360770577933,NA,0,0
2026-06-30,NA,2229,118,NA,2031.8642732049,107.563922942207,NA,197.135726795096,10.4360770577933,NA,0,0
2026-09-30,NA,2229,118,NA,2031.8642732049,107.563922942207,NA,197.135726795096,10.4360770577933,NA,0,0
