"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,37,NA,NA,13,NA,NA,24,NA,NA,0,NA,NA
2021-06-30,27,NA,NA,5,NA,NA,21,NA,NA,1,NA,NA
2021-09-30,18,NA,NA,7,NA,NA,11,NA,NA,0,NA,NA
2021-12-31,26,NA,NA,5,NA,NA,19,NA,NA,2,NA,NA
2022-03-31,40,NA,NA,16,NA,NA,23,NA,NA,1,NA,NA
2022-06-30,44,NA,NA,26,NA,NA,13,NA,NA,5,NA,NA
2022-09-30,69,NA,NA,44,NA,NA,22,NA,NA,3,NA,NA
2022-12-31,83,NA,NA,55,NA,NA,27,NA,NA,1,NA,NA
2023-03-31,26,NA,NA,13,NA,NA,10,NA,NA,3,NA,NA
2023-06-30,80,NA,NA,70,NA,NA,6,NA,NA,4,NA,NA
2023-09-30,321,NA,NA,291,NA,NA,23,NA,NA,7,NA,NA
2023-12-31,424,NA,NA,345,NA,NA,50,NA,NA,29,NA,NA
2024-03-31,222,NA,NA,167,NA,NA,49,NA,NA,6,NA,NA
2024-06-30,130,NA,NA,75,NA,NA,54,NA,NA,1,NA,NA
2024-09-30,39,NA,NA,19,NA,NA,19,NA,NA,1,NA,NA
2024-12-31,340,NA,NA,199,NA,NA,133,NA,NA,8,NA,NA
2025-03-31,460,NA,NA,266,NA,NA,189,NA,NA,5,NA,NA
2025-06-30,272,272,272,170,170,170,102,102,102,0,0,0
2025-09-30,NA,460,39,NA,287.5,24.375,NA,172.5,14.625,NA,0,0
2025-12-30,NA,460,39,NA,287.5,24.375,NA,172.5,14.625,NA,0,0
2026-03-30,NA,460,39,NA,287.5,24.375,NA,172.5,14.625,NA,0,0
2026-06-30,NA,460,39,NA,287.5,24.375,NA,172.5,14.625,NA,0,0
2026-09-30,NA,460,39,NA,287.5,24.375,NA,172.5,14.625,NA,0,0
