"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,10,NA,NA,4,NA,NA,4,NA,NA,2,NA,NA
2021-06-30,7,NA,NA,0,NA,NA,3,NA,NA,4,NA,NA
2021-09-30,6,NA,NA,1,NA,NA,5,NA,NA,0,NA,NA
2021-12-31,5,NA,NA,2,NA,NA,3,NA,NA,0,NA,NA
2022-03-31,4,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA
2022-06-30,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA
2022-09-30,7,NA,NA,3,NA,NA,2,NA,NA,2,NA,NA
2022-12-31,3,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA
2023-03-31,11,NA,NA,5,NA,NA,2,NA,NA,4,NA,NA
2023-06-30,13,NA,NA,6,NA,NA,3,NA,NA,4,NA,NA
2023-09-30,52,NA,NA,25,NA,NA,17,NA,NA,10,NA,NA
2023-12-31,101,NA,NA,41,NA,NA,50,NA,NA,10,NA,NA
2024-03-31,41,NA,NA,18,NA,NA,21,NA,NA,2,NA,NA
2024-06-30,18,NA,NA,8,NA,NA,8,NA,NA,2,NA,NA
2024-09-30,10,NA,NA,6,NA,NA,3,NA,NA,1,NA,NA
2024-12-31,23,NA,NA,2,NA,NA,20,NA,NA,1,NA,NA
2025-03-31,35,NA,NA,11,NA,NA,20,NA,NA,4,NA,NA
2025-06-30,47,47,47,11,11,11,36,36,36,0,0,0
2025-09-30,NA,101,10,NA,23.6382978723404,2.34042553191489,NA,77.3617021276596,7.65957446808511,NA,0,0
2025-12-30,NA,70.4219361031698,10,NA,16.4817297262738,2.34042553191489,NA,53.940206376896,7.65957446808511,NA,0,0
2026-03-30,NA,44,10,NA,10.2978723404255,2.34042553191489,NA,33.7021276595745,7.65957446808511,NA,0,0
2026-06-30,NA,44,10,NA,10.2978723404255,2.34042553191489,NA,33.7021276595745,7.65957446808511,NA,0,0
2026-09-30,NA,44,10,NA,10.2978723404255,2.34042553191489,NA,33.7021276595745,7.65957446808511,NA,0,0
