"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,34,NA,NA,5,NA,NA,20,NA,NA,9,NA,NA
2021-06-30,18,NA,NA,5,NA,NA,11,NA,NA,2,NA,NA
2021-09-30,9,NA,NA,3,NA,NA,2,NA,NA,4,NA,NA
2021-12-31,26,NA,NA,4,NA,NA,11,NA,NA,11,NA,NA
2022-03-31,19,NA,NA,2,NA,NA,7,NA,NA,10,NA,NA
2022-06-30,22,NA,NA,2,NA,NA,4,NA,NA,16,NA,NA
2022-09-30,35,NA,NA,7,NA,NA,6,NA,NA,22,NA,NA
2022-12-31,14,NA,NA,4,NA,NA,6,NA,NA,4,NA,NA
2023-03-31,18,NA,NA,3,NA,NA,8,NA,NA,7,NA,NA
2023-06-30,33,NA,NA,1,NA,NA,9,NA,NA,23,NA,NA
2023-09-30,82,NA,NA,19,NA,NA,27,NA,NA,36,NA,NA
2023-12-31,188,NA,NA,39,NA,NA,112,NA,NA,37,NA,NA
2024-03-31,76,NA,NA,24,NA,NA,27,NA,NA,25,NA,NA
2024-06-30,71,NA,NA,15,NA,NA,42,NA,NA,14,NA,NA
2024-09-30,34,NA,NA,5,NA,NA,21,NA,NA,8,NA,NA
2024-12-31,82,NA,NA,15,NA,NA,45,NA,NA,22,NA,NA
2025-03-31,105,NA,NA,15,NA,NA,68,NA,NA,22,NA,NA
2025-06-30,165,165,165,36,36,36,129,129,129,0,0,0
2025-09-30,NA,188,34,NA,41.0181818181818,7.41818181818182,NA,146.981818181818,26.5818181818182,NA,0,0
2025-12-30,NA,188,34,NA,41.0181818181818,7.41818181818182,NA,146.981818181818,26.5818181818182,NA,0,0
2026-03-30,NA,188,34,NA,41.0181818181818,7.41818181818182,NA,146.981818181818,26.5818181818182,NA,0,0
2026-06-30,NA,188,34,NA,41.0181818181818,7.41818181818182,NA,146.981818181818,26.5818181818182,NA,0,0
2026-09-30,NA,142.808118540655,34,NA,31.1581349543247,7.41818181818182,NA,111.64998358633,26.5818181818182,NA,0,0
