"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,20,NA,NA,9,NA,NA,6,NA,NA,5,NA,NA
2021-06-30,19,NA,NA,4,NA,NA,7,NA,NA,8,NA,NA
2021-09-30,11,NA,NA,3,NA,NA,2,NA,NA,6,NA,NA
2021-12-31,20,NA,NA,4,NA,NA,3,NA,NA,13,NA,NA
2022-03-31,16,NA,NA,2,NA,NA,1,NA,NA,13,NA,NA
2022-06-30,20,NA,NA,3,NA,NA,5,NA,NA,12,NA,NA
2022-09-30,43,NA,NA,8,NA,NA,18,NA,NA,17,NA,NA
2022-12-31,26,NA,NA,8,NA,NA,7,NA,NA,11,NA,NA
2023-03-31,51,NA,NA,8,NA,NA,9,NA,NA,34,NA,NA
2023-06-30,30,NA,NA,2,NA,NA,4,NA,NA,24,NA,NA
2023-09-30,55,NA,NA,13,NA,NA,18,NA,NA,24,NA,NA
2023-12-31,549,NA,NA,176,NA,NA,215,NA,NA,158,NA,NA
2024-03-31,429,NA,NA,103,NA,NA,159,NA,NA,167,NA,NA
2024-06-30,149,NA,NA,37,NA,NA,87,NA,NA,25,NA,NA
2024-09-30,31,NA,NA,5,NA,NA,20,NA,NA,6,NA,NA
2024-12-31,78,NA,NA,18,NA,NA,50,NA,NA,10,NA,NA
2025-03-31,65,NA,NA,13,NA,NA,44,NA,NA,8,NA,NA
2025-06-30,135,135,135,33,33,33,102,102,102,0,0,0
2025-09-30,NA,215.258448512016,31,NA,52.6187318584928,7.57777777777778,NA,162.639716653523,23.4222222222222,NA,0,0
2025-12-30,NA,141,31,NA,34.4666666666667,7.57777777777778,NA,106.533333333333,23.4222222222222,NA,0,0
2026-03-30,NA,141,31,NA,34.4666666666667,7.57777777777778,NA,106.533333333333,23.4222222222222,NA,0,0
2026-06-30,NA,141,31,NA,34.4666666666667,7.57777777777778,NA,106.533333333333,23.4222222222222,NA,0,0
2026-09-30,NA,141,31,NA,34.4666666666667,7.57777777777778,NA,106.533333333333,23.4222222222222,NA,0,0
