"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2021-09-30,6,NA,NA,2,NA,NA,4,NA,NA,0,NA,NA
2021-12-31,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA
2022-03-31,4,NA,NA,4,NA,NA,0,NA,NA,0,NA,NA
2022-06-30,2,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA
2022-09-30,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA
2022-12-31,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA
2023-03-31,2,NA,NA,0,NA,NA,0,NA,NA,2,NA,NA
2023-06-30,10,NA,NA,6,NA,NA,2,NA,NA,2,NA,NA
2023-09-30,11,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA
2023-12-31,73,NA,NA,27,NA,NA,19,NA,NA,27,NA,NA
2024-03-31,126,NA,NA,25,NA,NA,80,NA,NA,21,NA,NA
2024-06-30,48,NA,NA,5,NA,NA,34,NA,NA,9,NA,NA
2024-09-30,8,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA
2024-12-31,7,NA,NA,0,NA,NA,2,NA,NA,5,NA,NA
2025-03-31,45,NA,NA,1,NA,NA,38,NA,NA,6,NA,NA
2025-06-30,86,86,86,19,19,19,67,67,67,0,0,0
2025-09-30,NA,126,7,NA,27.8372093023256,1.54651162790698,NA,98.1627906976744,5.45348837209302,NA,0,0
2025-12-30,NA,115.647067613,7,NA,25.5499335424069,1.54651162790698,NA,90.0971340705927,5.45348837209302,NA,0,0
2026-03-30,NA,65,7,NA,14.3604651162791,1.54651162790698,NA,50.6395348837209,5.45348837209302,NA,0,0
2026-06-30,NA,65,7,NA,14.3604651162791,1.54651162790698,NA,50.6395348837209,5.45348837209302,NA,0,0
2026-09-30,NA,65,7,NA,14.3604651162791,1.54651162790698,NA,50.6395348837209,5.45348837209302,NA,0,0
