"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,620,NA,NA,526,NA,NA,81,NA,NA,13,NA,NA
2021-06-30,517,NA,NA,452,NA,NA,52,NA,NA,13,NA,NA
2021-09-30,538,NA,NA,476,NA,NA,49,NA,NA,13,NA,NA
2021-12-31,462,NA,NA,396,NA,NA,41,NA,NA,25,NA,NA
2022-03-31,630,NA,NA,502,NA,NA,100,NA,NA,28,NA,NA
2022-06-30,642,NA,NA,458,NA,NA,151,NA,NA,33,NA,NA
2022-09-30,661,NA,NA,521,NA,NA,101,NA,NA,39,NA,NA
2022-12-31,623,NA,NA,508,NA,NA,96,NA,NA,19,NA,NA
2023-03-31,323,NA,NA,233,NA,NA,39,NA,NA,51,NA,NA
2023-06-30,321,NA,NA,247,NA,NA,43,NA,NA,31,NA,NA
2023-09-30,4375,NA,NA,4015,NA,NA,236,NA,NA,124,NA,NA
2023-12-31,4796,NA,NA,3844,NA,NA,735,NA,NA,217,NA,NA
2024-03-31,2693,NA,NA,2050,NA,NA,565,NA,NA,78,NA,NA
2024-06-30,1549,NA,NA,922,NA,NA,589,NA,NA,38,NA,NA
2024-09-30,874,NA,NA,538,NA,NA,277,NA,NA,59,NA,NA
2024-12-31,2964,NA,NA,1656,NA,NA,1242,NA,NA,66,NA,NA
2025-03-31,3108,NA,NA,1840,NA,NA,1210,NA,NA,58,NA,NA
2025-06-30,1735,1735,1735,1232,1232,1232,503,503,503,0,0,0
2025-09-30,NA,3498.19110945088,874,NA,2484.01812498183,620.615561959654,NA,1014.17298446904,253.384438040346,NA,0,0
2025-12-30,NA,1725,874,NA,1224.89913544669,620.615561959654,NA,500.100864553314,253.384438040346,NA,0,0
2026-03-30,NA,1725,874,NA,1224.89913544669,620.615561959654,NA,500.100864553314,253.384438040346,NA,0,0
2026-06-30,NA,1725,874,NA,1224.89913544669,620.615561959654,NA,500.100864553314,253.384438040346,NA,0,0
2026-09-30,NA,1725,874,NA,1224.89913544669,620.615561959654,NA,500.100864553314,253.384438040346,NA,0,0
