"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,302,NA,NA,100,NA,NA,182,NA,NA,20,NA,NA
2021-06-30,281,NA,NA,95,NA,NA,172,NA,NA,14,NA,NA
2021-09-30,180,NA,NA,67,NA,NA,101,NA,NA,12,NA,NA
2021-12-31,203,NA,NA,73,NA,NA,116,NA,NA,14,NA,NA
2022-03-31,226,NA,NA,63,NA,NA,109,NA,NA,54,NA,NA
2022-06-30,205,NA,NA,85,NA,NA,62,NA,NA,58,NA,NA
2022-09-30,251,NA,NA,113,NA,NA,87,NA,NA,51,NA,NA
2022-12-31,307,NA,NA,123,NA,NA,135,NA,NA,49,NA,NA
2023-03-31,307,NA,NA,82,NA,NA,140,NA,NA,85,NA,NA
2023-06-30,315,NA,NA,81,NA,NA,159,NA,NA,75,NA,NA
2023-09-30,1047,NA,NA,436,NA,NA,458,NA,NA,153,NA,NA
2023-12-31,5633,NA,NA,1924,NA,NA,3320,NA,NA,389,NA,NA
2024-03-31,1744,NA,NA,541,NA,NA,1082,NA,NA,121,NA,NA
2024-06-30,537,NA,NA,130,NA,NA,364,NA,NA,43,NA,NA
2024-09-30,526,NA,NA,192,NA,NA,294,NA,NA,40,NA,NA
2024-12-31,1162,NA,NA,293,NA,NA,803,NA,NA,66,NA,NA
2025-03-31,1073,NA,NA,311,NA,NA,703,NA,NA,59,NA,NA
2025-06-30,519,519,519,179,179,179,340,340,340,0,0,0
2025-09-30,NA,1511,519,NA,521.134874759152,179,NA,989.865125240848,340,NA,0,0
2025-12-30,NA,871,519,NA,300.402697495183,179,NA,570.597302504817,340,NA,0,0
2026-03-30,NA,871,519,NA,300.402697495183,179,NA,570.597302504817,340,NA,0,0
2026-06-30,NA,871,519,NA,300.402697495183,179,NA,570.597302504817,340,NA,0,0
2026-09-30,NA,871,519,NA,300.402697495183,179,NA,570.597302504817,340,NA,0,0
