"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,5,NA,NA,3,NA,NA,2,NA,NA,0,NA,NA
2021-06-30,7,NA,NA,4,NA,NA,1,NA,NA,2,NA,NA
2021-09-30,4,NA,NA,3,NA,NA,1,NA,NA,0,NA,NA
2021-12-31,3,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA
2022-06-30,2,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA
2022-09-30,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA
2022-12-31,8,NA,NA,3,NA,NA,3,NA,NA,2,NA,NA
2023-03-31,2,NA,NA,0,NA,NA,0,NA,NA,2,NA,NA
2023-06-30,7,NA,NA,3,NA,NA,3,NA,NA,1,NA,NA
2023-09-30,6,NA,NA,0,NA,NA,3,NA,NA,3,NA,NA
2023-12-31,42,NA,NA,17,NA,NA,22,NA,NA,3,NA,NA
2024-03-31,20,NA,NA,8,NA,NA,11,NA,NA,1,NA,NA
2024-06-30,16,NA,NA,2,NA,NA,8,NA,NA,6,NA,NA
2024-09-30,58,NA,NA,8,NA,NA,31,NA,NA,19,NA,NA
2024-12-31,287,NA,NA,59,NA,NA,187,NA,NA,41,NA,NA
2025-03-31,334,NA,NA,48,NA,NA,223,NA,NA,63,NA,NA
2025-06-30,178,178,178,41,41,41,137,137,137,0,0,0
2025-09-30,NA,288.761941528766,6,NA,66.5125820375248,1.38202247191011,NA,222.249359491241,4.61797752808989,NA,0,0
2025-12-30,NA,334,6,NA,76.9325842696629,1.38202247191011,NA,257.067415730337,4.61797752808989,NA,0,0
2026-03-30,NA,334,6,NA,76.9325842696629,1.38202247191011,NA,257.067415730337,4.61797752808989,NA,0,0
2026-06-30,NA,334,6,NA,76.9325842696629,1.38202247191011,NA,257.067415730337,4.61797752808989,NA,0,0
2026-09-30,NA,334,6,NA,76.9325842696629,1.38202247191011,NA,257.067415730337,4.61797752808989,NA,0,0
