"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,2,NA,NA,0,NA,NA,2,NA,NA,0,NA,NA
2021-06-30,5,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA
2021-09-30,3,NA,NA,2,NA,NA,0,NA,NA,1,NA,NA
2021-12-31,2,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA
2022-03-31,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA
2022-06-30,3,NA,NA,1,NA,NA,0,NA,NA,2,NA,NA
2022-09-30,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
2022-12-31,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2023-03-31,4,NA,NA,2,NA,NA,2,NA,NA,0,NA,NA
2023-06-30,4,NA,NA,0,NA,NA,2,NA,NA,2,NA,NA
2023-09-30,21,NA,NA,11,NA,NA,3,NA,NA,7,NA,NA
2023-12-31,32,NA,NA,7,NA,NA,15,NA,NA,10,NA,NA
2024-03-31,93,NA,NA,20,NA,NA,51,NA,NA,22,NA,NA
2024-06-30,63,NA,NA,6,NA,NA,41,NA,NA,16,NA,NA
2024-09-30,30,NA,NA,3,NA,NA,14,NA,NA,13,NA,NA
2024-12-31,51,NA,NA,6,NA,NA,19,NA,NA,26,NA,NA
2025-03-31,103,NA,NA,11,NA,NA,55,NA,NA,37,NA,NA
2025-06-30,180,180,180,27,27,27,153,153,153,0,0,0
2025-09-30,NA,180,21,NA,27,3.15,NA,153,17.85,NA,0,0
2025-12-30,NA,180,21,NA,27,3.15,NA,153,17.85,NA,0,0
2026-03-30,NA,180,21,NA,27,3.15,NA,153,17.85,NA,0,0
2026-06-30,NA,180,21,NA,27,3.15,NA,153,17.85,NA,0,0
2026-09-30,NA,180,21,NA,27,3.15,NA,153,17.85,NA,0,0
