"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,22,NA,NA,9,NA,NA,10,NA,NA,3,NA,NA
2021-06-30,15,NA,NA,8,NA,NA,5,NA,NA,2,NA,NA
2021-09-30,20,NA,NA,12,NA,NA,6,NA,NA,2,NA,NA
2021-12-31,21,NA,NA,11,NA,NA,8,NA,NA,2,NA,NA
2022-03-31,5,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA
2022-06-30,14,NA,NA,7,NA,NA,3,NA,NA,4,NA,NA
2022-09-30,8,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA
2022-12-31,22,NA,NA,14,NA,NA,7,NA,NA,1,NA,NA
2023-03-31,14,NA,NA,5,NA,NA,7,NA,NA,2,NA,NA
2023-06-30,14,NA,NA,7,NA,NA,7,NA,NA,0,NA,NA
2023-09-30,40,NA,NA,21,NA,NA,16,NA,NA,3,NA,NA
2023-12-31,216,NA,NA,106,NA,NA,87,NA,NA,23,NA,NA
2024-03-31,70,NA,NA,39,NA,NA,24,NA,NA,7,NA,NA
2024-06-30,34,NA,NA,13,NA,NA,19,NA,NA,2,NA,NA
2024-09-30,13,NA,NA,5,NA,NA,7,NA,NA,1,NA,NA
2024-12-31,32,NA,NA,13,NA,NA,17,NA,NA,2,NA,NA
2025-03-31,118,NA,NA,36,NA,NA,70,NA,NA,12,NA,NA
2025-06-30,149,149,149,44,44,44,105,105,105,0,0,0
2025-09-30,NA,216,13,NA,63.7852348993289,3.83892617449664,NA,152.214765100671,9.16107382550335,NA,0,0
2025-12-30,NA,99.0090983076313,13,NA,29.2375860774213,3.83892617449664,NA,69.77151223021,9.16107382550335,NA,0,0
2026-03-30,NA,95,13,NA,28.0536912751678,3.83892617449664,NA,66.9463087248322,9.16107382550335,NA,0,0
2026-06-30,NA,95,13,NA,28.0536912751678,3.83892617449664,NA,66.9463087248322,9.16107382550335,NA,0,0
2026-09-30,NA,95,13,NA,28.0536912751678,3.83892617449664,NA,66.9463087248322,9.16107382550335,NA,0,0
