"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,14,NA,NA,8,NA,NA,3,NA,NA,3,NA,NA
2021-06-30,15,NA,NA,10,NA,NA,2,NA,NA,3,NA,NA
2021-09-30,14,NA,NA,10,NA,NA,1,NA,NA,3,NA,NA
2021-12-31,21,NA,NA,14,NA,NA,1,NA,NA,6,NA,NA
2022-03-31,27,NA,NA,15,NA,NA,3,NA,NA,9,NA,NA
2022-06-30,17,NA,NA,9,NA,NA,0,NA,NA,8,NA,NA
2022-09-30,13,NA,NA,5,NA,NA,3,NA,NA,5,NA,NA
2022-12-31,27,NA,NA,17,NA,NA,4,NA,NA,6,NA,NA
2023-03-31,18,NA,NA,10,NA,NA,2,NA,NA,6,NA,NA
2023-06-30,14,NA,NA,8,NA,NA,1,NA,NA,5,NA,NA
2023-09-30,107,NA,NA,75,NA,NA,21,NA,NA,11,NA,NA
2023-12-31,122,NA,NA,58,NA,NA,26,NA,NA,38,NA,NA
2024-03-31,120,NA,NA,86,NA,NA,22,NA,NA,12,NA,NA
2024-06-30,36,NA,NA,22,NA,NA,8,NA,NA,6,NA,NA
2024-09-30,82,NA,NA,78,NA,NA,2,NA,NA,2,NA,NA
2024-12-31,311,NA,NA,248,NA,NA,45,NA,NA,18,NA,NA
2025-03-31,354,NA,NA,228,NA,NA,98,NA,NA,28,NA,NA
2025-06-30,203,203,203,123,123,123,80,80,80,0,0,0
2025-09-30,NA,354,36,NA,214.492610837438,21.8128078817734,NA,139.507389162562,14.1871921182266,NA,0,0
2025-12-30,NA,354,36,NA,214.492610837438,21.8128078817734,NA,139.507389162562,14.1871921182266,NA,0,0
2026-03-30,NA,354,36,NA,214.492610837438,21.8128078817734,NA,139.507389162562,14.1871921182266,NA,0,0
2026-06-30,NA,354,36,NA,214.492610837438,21.8128078817734,NA,139.507389162562,14.1871921182266,NA,0,0
2026-09-30,NA,354,36,NA,214.492610837438,21.8128078817734,NA,139.507389162562,14.1871921182266,NA,0,0
