"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2021-09-30,3,NA,NA,1,NA,NA,0,NA,NA,2,NA,NA
2022-12-31,7,NA,NA,2,NA,NA,4,NA,NA,1,NA,NA
2023-03-31,5,NA,NA,1,NA,NA,0,NA,NA,4,NA,NA
2023-06-30,2,NA,NA,0,NA,NA,0,NA,NA,2,NA,NA
2023-09-30,11,NA,NA,5,NA,NA,0,NA,NA,6,NA,NA
2023-12-31,16,NA,NA,3,NA,NA,4,NA,NA,9,NA,NA
2024-03-31,111,NA,NA,16,NA,NA,63,NA,NA,32,NA,NA
2024-06-30,53,NA,NA,4,NA,NA,38,NA,NA,11,NA,NA
2024-09-30,21,NA,NA,3,NA,NA,8,NA,NA,10,NA,NA
2024-12-31,28,NA,NA,4,NA,NA,12,NA,NA,12,NA,NA
2025-03-31,67,NA,NA,5,NA,NA,41,NA,NA,21,NA,NA
2025-06-30,110,110,110,19,19,19,91,91,91,0,0,0
2025-09-30,NA,111,11,NA,19.1727272727273,1.9,NA,91.8272727272727,9.1,NA,0,0
2025-12-30,NA,111,11,NA,19.1727272727273,1.9,NA,91.8272727272727,9.1,NA,0,0
2026-03-30,NA,111,11,NA,19.1727272727273,1.9,NA,91.8272727272727,9.1,NA,0,0
2026-06-30,NA,111,11,NA,19.1727272727273,1.9,NA,91.8272727272727,9.1,NA,0,0
2026-09-30,NA,111,11,NA,19.1727272727273,1.9,NA,91.8272727272727,9.1,NA,0,0
