"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,10,NA,NA,4,NA,NA,6,NA,NA,0,NA,NA
2021-06-30,9,NA,NA,6,NA,NA,1,NA,NA,2,NA,NA
2021-09-30,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA
2021-12-31,10,NA,NA,6,NA,NA,4,NA,NA,0,NA,NA
2022-03-31,6,NA,NA,4,NA,NA,2,NA,NA,0,NA,NA
2022-06-30,5,NA,NA,3,NA,NA,2,NA,NA,0,NA,NA
2022-09-30,7,NA,NA,3,NA,NA,3,NA,NA,1,NA,NA
2022-12-31,7,NA,NA,3,NA,NA,3,NA,NA,1,NA,NA
2023-03-31,7,NA,NA,3,NA,NA,2,NA,NA,2,NA,NA
2023-06-30,12,NA,NA,6,NA,NA,3,NA,NA,3,NA,NA
2023-09-30,9,NA,NA,3,NA,NA,4,NA,NA,2,NA,NA
2023-12-31,62,NA,NA,35,NA,NA,21,NA,NA,6,NA,NA
2024-03-31,30,NA,NA,16,NA,NA,12,NA,NA,2,NA,NA
2024-06-30,10,NA,NA,1,NA,NA,8,NA,NA,1,NA,NA
2024-09-30,6,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA
2024-12-31,30,NA,NA,17,NA,NA,8,NA,NA,5,NA,NA
2025-03-31,46,NA,NA,15,NA,NA,23,NA,NA,8,NA,NA
2025-06-30,47,47,47,16,16,16,31,31,31,0,0,0
2025-09-30,NA,62,6,NA,21.1063829787234,2.04255319148936,NA,40.8936170212766,3.95744680851064,NA,0,0
2025-12-30,NA,62,6,NA,21.1063829787234,2.04255319148936,NA,40.8936170212766,3.95744680851064,NA,0,0
2026-03-30,NA,62,6,NA,21.1063829787234,2.04255319148936,NA,40.8936170212766,3.95744680851064,NA,0,0
2026-06-30,NA,62,6,NA,21.1063829787234,2.04255319148936,NA,40.8936170212766,3.95744680851064,NA,0,0
2026-09-30,NA,62,6,NA,21.1063829787234,2.04255319148936,NA,40.8936170212766,3.95744680851064,NA,0,0
