"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,76,NA,NA,74,NA,NA,0,NA,NA,2,NA,NA
2021-06-30,42,NA,NA,36,NA,NA,0,NA,NA,6,NA,NA
2021-09-30,23,NA,NA,19,NA,NA,0,NA,NA,4,NA,NA
2021-12-31,31,NA,NA,27,NA,NA,1,NA,NA,3,NA,NA
2022-03-31,42,NA,NA,35,NA,NA,1,NA,NA,6,NA,NA
2022-06-30,28,NA,NA,22,NA,NA,0,NA,NA,6,NA,NA
2022-09-30,40,NA,NA,37,NA,NA,0,NA,NA,3,NA,NA
2022-12-31,40,NA,NA,37,NA,NA,1,NA,NA,2,NA,NA
2023-03-31,35,NA,NA,25,NA,NA,0,NA,NA,10,NA,NA
2023-06-30,49,NA,NA,24,NA,NA,1,NA,NA,24,NA,NA
2023-09-30,177,NA,NA,158,NA,NA,1,NA,NA,18,NA,NA
2023-12-31,255,NA,NA,224,NA,NA,3,NA,NA,28,NA,NA
2024-03-31,35,NA,NA,32,NA,NA,1,NA,NA,2,NA,NA
2024-06-30,54,NA,NA,49,NA,NA,1,NA,NA,4,NA,NA
2024-09-30,95,NA,NA,86,NA,NA,0,NA,NA,9,NA,NA
2024-12-31,222,NA,NA,196,NA,NA,2,NA,NA,24,NA,NA
2025-03-31,264,NA,NA,236,NA,NA,9,NA,NA,19,NA,NA
2025-06-30,100,100,100,50,50,50,50,50,50,0,0,0
2025-09-30,NA,264,35,NA,132,17.5,NA,132,17.5,NA,0,0
2025-12-30,NA,264,35,NA,132,17.5,NA,132,17.5,NA,0,0
2026-03-30,NA,264,35,NA,132,17.5,NA,132,17.5,NA,0,0
2026-06-30,NA,264,35,NA,132,17.5,NA,132,17.5,NA,0,0
2026-09-30,NA,264,35,NA,132,17.5,NA,132,17.5,NA,0,0
