"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,18,NA,NA,6,NA,NA,7,NA,NA,5,NA,NA
2021-06-30,17,NA,NA,3,NA,NA,7,NA,NA,7,NA,NA
2021-09-30,13,NA,NA,5,NA,NA,7,NA,NA,1,NA,NA
2021-12-31,9,NA,NA,2,NA,NA,4,NA,NA,3,NA,NA
2022-03-31,8,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA
2022-06-30,23,NA,NA,7,NA,NA,8,NA,NA,8,NA,NA
2022-09-30,20,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA
2022-12-31,14,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA
2023-03-31,13,NA,NA,1,NA,NA,5,NA,NA,7,NA,NA
2023-06-30,13,NA,NA,2,NA,NA,7,NA,NA,4,NA,NA
2023-09-30,65,NA,NA,13,NA,NA,28,NA,NA,24,NA,NA
2023-12-31,162,NA,NA,25,NA,NA,55,NA,NA,82,NA,NA
2024-03-31,73,NA,NA,11,NA,NA,42,NA,NA,20,NA,NA
2024-06-30,48,NA,NA,7,NA,NA,32,NA,NA,9,NA,NA
2024-09-30,33,NA,NA,7,NA,NA,17,NA,NA,9,NA,NA
2024-12-31,88,NA,NA,25,NA,NA,42,NA,NA,21,NA,NA
2025-03-31,97,NA,NA,24,NA,NA,58,NA,NA,15,NA,NA
2025-06-30,92,92,92,36,36,36,56,56,56,0,0,0
2025-09-30,NA,162,33,NA,63.3913043478261,12.9130434782609,NA,98.6086956521739,20.0869565217391,NA,0,0
2025-12-30,NA,156.176144070449,33,NA,61.1124042014802,12.9130434782609,NA,95.0637398689691,20.0869565217391,NA,0,0
2026-03-30,NA,89,33,NA,34.8260869565217,12.9130434782609,NA,54.1739130434783,20.0869565217391,NA,0,0
2026-06-30,NA,89,33,NA,34.8260869565217,12.9130434782609,NA,54.1739130434783,20.0869565217391,NA,0,0
2026-09-30,NA,89,33,NA,34.8260869565217,12.9130434782609,NA,54.1739130434783,20.0869565217391,NA,0,0
