"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,5,NA,NA,3,NA,NA,0,NA,NA,2,NA,NA
2021-06-30,3,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA
2021-09-30,4,NA,NA,4,NA,NA,0,NA,NA,0,NA,NA
2021-12-31,7,NA,NA,6,NA,NA,1,NA,NA,0,NA,NA
2022-03-31,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2022-06-30,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2022-09-30,4,NA,NA,3,NA,NA,0,NA,NA,1,NA,NA
2022-12-31,8,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA
2023-03-31,6,NA,NA,4,NA,NA,2,NA,NA,0,NA,NA
2023-06-30,6,NA,NA,6,NA,NA,0,NA,NA,0,NA,NA
2023-09-30,20,NA,NA,18,NA,NA,0,NA,NA,2,NA,NA
2023-12-31,85,NA,NA,66,NA,NA,14,NA,NA,5,NA,NA
2024-03-31,71,NA,NA,55,NA,NA,15,NA,NA,1,NA,NA
2024-06-30,48,NA,NA,33,NA,NA,14,NA,NA,1,NA,NA
2024-09-30,9,NA,NA,5,NA,NA,1,NA,NA,3,NA,NA
2024-12-31,20,NA,NA,20,NA,NA,0,NA,NA,0,NA,NA
2025-03-31,177,NA,NA,151,NA,NA,24,NA,NA,2,NA,NA
2025-06-30,181,181,181,160,160,160,21,21,21,0,0,0
2025-09-30,NA,181,9,NA,160,7.95580110497237,NA,21,1.04419889502762,NA,0,0
2025-12-30,NA,181,9,NA,160,7.95580110497237,NA,21,1.04419889502762,NA,0,0
2026-03-30,NA,181,9,NA,160,7.95580110497237,NA,21,1.04419889502762,NA,0,0
2026-06-30,NA,181,9,NA,160,7.95580110497237,NA,21,1.04419889502762,NA,0,0
2026-09-30,NA,181,9,NA,160,7.95580110497237,NA,21,1.04419889502762,NA,0,0
