"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,86,NA,NA,30,NA,NA,39,NA,NA,17,NA,NA
2021-06-30,74,NA,NA,29,NA,NA,34,NA,NA,11,NA,NA
2021-09-30,65,NA,NA,18,NA,NA,32,NA,NA,15,NA,NA
2021-12-31,70,NA,NA,25,NA,NA,34,NA,NA,11,NA,NA
2022-03-31,84,NA,NA,32,NA,NA,36,NA,NA,16,NA,NA
2022-06-30,87,NA,NA,32,NA,NA,27,NA,NA,28,NA,NA
2022-09-30,82,NA,NA,37,NA,NA,25,NA,NA,20,NA,NA
2022-12-31,93,NA,NA,43,NA,NA,36,NA,NA,14,NA,NA
2023-03-31,76,NA,NA,27,NA,NA,32,NA,NA,17,NA,NA
2023-06-30,171,NA,NA,76,NA,NA,55,NA,NA,40,NA,NA
2023-09-30,500,NA,NA,240,NA,NA,183,NA,NA,77,NA,NA
2023-12-31,834,NA,NA,399,NA,NA,357,NA,NA,78,NA,NA
2024-03-31,373,NA,NA,145,NA,NA,181,NA,NA,47,NA,NA
2024-06-30,314,NA,NA,96,NA,NA,178,NA,NA,40,NA,NA
2024-09-30,144,NA,NA,16,NA,NA,98,NA,NA,30,NA,NA
2024-12-31,370,NA,NA,39,NA,NA,276,NA,NA,55,NA,NA
2025-03-31,469,NA,NA,72,NA,NA,345,NA,NA,52,NA,NA
2025-06-30,648,648,648,198,198,198,450,450,450,0,0,0
2025-09-30,NA,834,144,NA,254.833333333333,44,NA,579.166666666667,100,NA,0,0
2025-12-30,NA,834,144,NA,254.833333333333,44,NA,579.166666666667,100,NA,0,0
2026-03-30,NA,820,144,NA,250.555555555556,44,NA,569.444444444444,100,NA,0,0
2026-06-30,NA,489,144,NA,149.416666666667,44,NA,339.583333333333,100,NA,0,0
2026-09-30,NA,489,144,NA,149.416666666667,44,NA,339.583333333333,100,NA,0,0
