"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,25,NA,NA,16,NA,NA,5,NA,NA,4,NA,NA
2021-06-30,19,NA,NA,17,NA,NA,2,NA,NA,0,NA,NA
2021-09-30,15,NA,NA,9,NA,NA,6,NA,NA,0,NA,NA
2021-12-31,17,NA,NA,15,NA,NA,2,NA,NA,0,NA,NA
2022-03-31,21,NA,NA,19,NA,NA,2,NA,NA,0,NA,NA
2022-06-30,24,NA,NA,14,NA,NA,10,NA,NA,0,NA,NA
2022-09-30,36,NA,NA,25,NA,NA,10,NA,NA,1,NA,NA
2022-12-31,26,NA,NA,13,NA,NA,12,NA,NA,1,NA,NA
2023-03-31,14,NA,NA,8,NA,NA,1,NA,NA,5,NA,NA
2023-06-30,24,NA,NA,6,NA,NA,7,NA,NA,11,NA,NA
2023-09-30,145,NA,NA,39,NA,NA,88,NA,NA,18,NA,NA
2023-12-31,69,NA,NA,47,NA,NA,12,NA,NA,10,NA,NA
2024-03-31,61,NA,NA,50,NA,NA,2,NA,NA,9,NA,NA
2024-06-30,16,NA,NA,11,NA,NA,2,NA,NA,3,NA,NA
2024-09-30,49,NA,NA,40,NA,NA,2,NA,NA,7,NA,NA
2024-12-31,89,NA,NA,80,NA,NA,3,NA,NA,6,NA,NA
2025-03-31,135,NA,NA,113,NA,NA,16,NA,NA,6,NA,NA
2025-06-30,100,100,100,84,84,84,16,16,16,0,0,0
2025-09-30,NA,145,16,NA,121.8,13.44,NA,23.2,2.56,NA,0,0
2025-12-30,NA,145,16,NA,121.8,13.44,NA,23.2,2.56,NA,0,0
2026-03-30,NA,145,16,NA,121.8,13.44,NA,23.2,2.56,NA,0,0
2026-06-30,NA,145,16,NA,121.8,13.44,NA,23.2,2.56,NA,0,0
2026-09-30,NA,145,16,NA,121.8,13.44,NA,23.2,2.56,NA,0,0
