"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,166,NA,NA,62,NA,NA,69,NA,NA,35,NA,NA
2021-06-30,218,NA,NA,80,NA,NA,79,NA,NA,59,NA,NA
2021-09-30,213,NA,NA,96,NA,NA,68,NA,NA,49,NA,NA
2021-12-31,190,NA,NA,90,NA,NA,72,NA,NA,28,NA,NA
2022-03-31,165,NA,NA,62,NA,NA,67,NA,NA,36,NA,NA
2022-06-30,109,NA,NA,45,NA,NA,35,NA,NA,29,NA,NA
2022-09-30,167,NA,NA,86,NA,NA,48,NA,NA,33,NA,NA
2022-12-31,240,NA,NA,135,NA,NA,66,NA,NA,39,NA,NA
2023-03-31,268,NA,NA,103,NA,NA,84,NA,NA,81,NA,NA
2023-06-30,221,NA,NA,75,NA,NA,76,NA,NA,70,NA,NA
2023-09-30,715,NA,NA,331,NA,NA,246,NA,NA,138,NA,NA
2023-12-31,2250,NA,NA,876,NA,NA,692,NA,NA,682,NA,NA
2024-03-31,1333,NA,NA,704,NA,NA,458,NA,NA,171,NA,NA
2024-06-30,1154,NA,NA,434,NA,NA,612,NA,NA,108,NA,NA
2024-09-30,372,NA,NA,173,NA,NA,149,NA,NA,50,NA,NA
2024-12-31,1599,NA,NA,783,NA,NA,659,NA,NA,157,NA,NA
2025-03-31,2533,NA,NA,1071,NA,NA,1278,NA,NA,184,NA,NA
2025-06-30,3656,3656,3656,1542,1542,1542,2114,2114,2114,0,0,0
2025-09-30,NA,3656,372,NA,1542,156.899343544858,NA,2114,215.100656455142,NA,0,0
2025-12-30,NA,3656,372,NA,1542,156.899343544858,NA,2114,215.100656455142,NA,0,0
2026-03-30,NA,2353.08031378409,372,NA,992.464399303901,156.899343544858,NA,1360.61591448019,215.100656455142,NA,0,0
2026-06-30,NA,2067,372,NA,871.803610503282,156.899343544858,NA,1195.19638949672,215.100656455142,NA,0,0
2026-09-30,NA,2067,372,NA,871.803610503282,156.899343544858,NA,1195.19638949672,215.100656455142,NA,0,0
