"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,96,NA,NA,85,NA,NA,6,NA,NA,5,NA,NA
2021-06-30,99,NA,NA,98,NA,NA,0,NA,NA,1,NA,NA
2021-09-30,74,NA,NA,66,NA,NA,3,NA,NA,5,NA,NA
2021-12-31,79,NA,NA,72,NA,NA,3,NA,NA,4,NA,NA
2022-03-31,88,NA,NA,80,NA,NA,4,NA,NA,4,NA,NA
2022-06-30,77,NA,NA,70,NA,NA,3,NA,NA,4,NA,NA
2022-09-30,115,NA,NA,112,NA,NA,2,NA,NA,1,NA,NA
2022-12-31,90,NA,NA,85,NA,NA,4,NA,NA,1,NA,NA
2023-03-31,49,NA,NA,45,NA,NA,3,NA,NA,1,NA,NA
2023-06-30,80,NA,NA,68,NA,NA,5,NA,NA,7,NA,NA
2023-09-30,741,NA,NA,698,NA,NA,33,NA,NA,10,NA,NA
2023-12-31,457,NA,NA,421,NA,NA,14,NA,NA,22,NA,NA
2024-03-31,201,NA,NA,197,NA,NA,3,NA,NA,1,NA,NA
2024-06-30,41,NA,NA,40,NA,NA,1,NA,NA,0,NA,NA
2024-09-30,46,NA,NA,44,NA,NA,2,NA,NA,0,NA,NA
2024-12-31,312,NA,NA,307,NA,NA,3,NA,NA,2,NA,NA
2025-03-31,393,NA,NA,378,NA,NA,11,NA,NA,4,NA,NA
2025-06-30,325,325,325,314,314,314,11,11,11,0,0,0
2025-09-30,NA,67.836138644853,41,NA,65.5401462599503,39.6123076923077,NA,2.29599238490272,1.38769230769231,NA,0,0
2025-12-30,NA,62,41,NA,59.9015384615385,39.6123076923077,NA,2.09846153846154,1.38769230769231,NA,0,0
2026-03-30,NA,62,41,NA,59.9015384615385,39.6123076923077,NA,2.09846153846154,1.38769230769231,NA,0,0
2026-06-30,NA,62,41,NA,59.9015384615385,39.6123076923077,NA,2.09846153846154,1.38769230769231,NA,0,0
2026-09-30,NA,62,41,NA,59.9015384615385,39.6123076923077,NA,2.09846153846154,1.38769230769231,NA,0,0
