"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,20,NA,NA,11,NA,NA,7,NA,NA,2,NA,NA
2021-06-30,19,NA,NA,11,NA,NA,3,NA,NA,5,NA,NA
2021-09-30,25,NA,NA,11,NA,NA,5,NA,NA,9,NA,NA
2021-12-31,23,NA,NA,13,NA,NA,5,NA,NA,5,NA,NA
2022-03-31,38,NA,NA,25,NA,NA,8,NA,NA,5,NA,NA
2022-06-30,26,NA,NA,16,NA,NA,6,NA,NA,4,NA,NA
2022-09-30,27,NA,NA,22,NA,NA,2,NA,NA,3,NA,NA
2022-12-31,42,NA,NA,26,NA,NA,6,NA,NA,10,NA,NA
2023-03-31,30,NA,NA,16,NA,NA,6,NA,NA,8,NA,NA
2023-06-30,63,NA,NA,34,NA,NA,8,NA,NA,21,NA,NA
2023-09-30,238,NA,NA,127,NA,NA,93,NA,NA,18,NA,NA
2023-12-31,95,NA,NA,55,NA,NA,26,NA,NA,14,NA,NA
2024-03-31,178,NA,NA,79,NA,NA,87,NA,NA,12,NA,NA
2024-06-30,119,NA,NA,46,NA,NA,66,NA,NA,7,NA,NA
2024-09-30,18,NA,NA,9,NA,NA,5,NA,NA,4,NA,NA
2024-12-31,33,NA,NA,15,NA,NA,7,NA,NA,11,NA,NA
2025-03-31,37,NA,NA,16,NA,NA,15,NA,NA,6,NA,NA
2025-06-30,57,57,57,32,32,32,25,25,25,0,0,0
2025-09-30,NA,99.9207988147159,18,NA,56.0958870538756,10.1052631578947,NA,43.8249117608403,7.89473684210526,NA,0,0
2025-12-30,NA,60,18,NA,33.6842105263158,10.1052631578947,NA,26.3157894736842,7.89473684210526,NA,0,0
2026-03-30,NA,60,18,NA,33.6842105263158,10.1052631578947,NA,26.3157894736842,7.89473684210526,NA,0,0
2026-06-30,NA,60,18,NA,33.6842105263158,10.1052631578947,NA,26.3157894736842,7.89473684210526,NA,0,0
2026-09-30,NA,60,18,NA,33.6842105263158,10.1052631578947,NA,26.3157894736842,7.89473684210526,NA,0,0
