"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,18,NA,NA,7,NA,NA,11,NA,NA,0,NA,NA
2021-06-30,12,NA,NA,5,NA,NA,6,NA,NA,1,NA,NA
2021-09-30,11,NA,NA,2,NA,NA,8,NA,NA,1,NA,NA
2021-12-31,15,NA,NA,8,NA,NA,7,NA,NA,0,NA,NA
2022-03-31,10,NA,NA,3,NA,NA,5,NA,NA,2,NA,NA
2022-06-30,5,NA,NA,2,NA,NA,3,NA,NA,0,NA,NA
2022-09-30,13,NA,NA,5,NA,NA,8,NA,NA,0,NA,NA
2022-12-31,18,NA,NA,8,NA,NA,7,NA,NA,3,NA,NA
2023-03-31,8,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA
2023-06-30,5,NA,NA,4,NA,NA,1,NA,NA,0,NA,NA
2023-09-30,35,NA,NA,17,NA,NA,17,NA,NA,1,NA,NA
2023-12-31,123,NA,NA,65,NA,NA,46,NA,NA,12,NA,NA
2024-03-31,66,NA,NA,32,NA,NA,32,NA,NA,2,NA,NA
2024-06-30,42,NA,NA,16,NA,NA,25,NA,NA,1,NA,NA
2024-09-30,10,NA,NA,5,NA,NA,3,NA,NA,2,NA,NA
2024-12-31,24,NA,NA,17,NA,NA,7,NA,NA,0,NA,NA
2025-03-31,65,NA,NA,31,NA,NA,32,NA,NA,2,NA,NA
2025-06-30,62,62,62,23,23,23,39,39,39,0,0,0
2025-09-30,NA,123,10,NA,45.6290322580645,3.70967741935484,NA,77.3709677419355,6.29032258064516,NA,0,0
2025-12-30,NA,121.57763665795,10,NA,45.1013813408526,3.70967741935484,NA,76.4762553170979,6.29032258064516,NA,0,0
2026-03-30,NA,66,10,NA,24.4838709677419,3.70967741935484,NA,41.5161290322581,6.29032258064516,NA,0,0
2026-06-30,NA,66,10,NA,24.4838709677419,3.70967741935484,NA,41.5161290322581,6.29032258064516,NA,0,0
2026-09-30,NA,66,10,NA,24.4838709677419,3.70967741935484,NA,41.5161290322581,6.29032258064516,NA,0,0
