"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,49,NA,NA,32,NA,NA,16,NA,NA,1,NA,NA
2021-06-30,35,NA,NA,29,NA,NA,4,NA,NA,2,NA,NA
2021-09-30,37,NA,NA,32,NA,NA,4,NA,NA,1,NA,NA
2021-12-31,51,NA,NA,42,NA,NA,7,NA,NA,2,NA,NA
2022-03-31,61,NA,NA,49,NA,NA,10,NA,NA,2,NA,NA
2022-06-30,55,NA,NA,42,NA,NA,11,NA,NA,2,NA,NA
2022-09-30,58,NA,NA,37,NA,NA,14,NA,NA,7,NA,NA
2022-12-31,42,NA,NA,30,NA,NA,10,NA,NA,2,NA,NA
2023-03-31,28,NA,NA,17,NA,NA,8,NA,NA,3,NA,NA
2023-06-30,75,NA,NA,39,NA,NA,22,NA,NA,14,NA,NA
2023-09-30,268,NA,NA,125,NA,NA,117,NA,NA,26,NA,NA
2023-12-31,351,NA,NA,171,NA,NA,146,NA,NA,34,NA,NA
2024-03-31,131,NA,NA,58,NA,NA,60,NA,NA,13,NA,NA
2024-06-30,60,NA,NA,28,NA,NA,25,NA,NA,7,NA,NA
2024-09-30,99,NA,NA,55,NA,NA,37,NA,NA,7,NA,NA
2024-12-31,300,NA,NA,105,NA,NA,175,NA,NA,20,NA,NA
2025-03-31,485,NA,NA,159,NA,NA,301,NA,NA,25,NA,NA
2025-06-30,361,361,361,146,146,146,215,215,215,0,0,0
2025-09-30,NA,485,60,NA,196.149584487535,24.2659279778393,NA,288.850415512465,35.7340720221607,NA,0,0
2025-12-30,NA,485,60,NA,196.149584487535,24.2659279778393,NA,288.850415512465,35.7340720221607,NA,0,0
2026-03-30,NA,485,60,NA,196.149584487535,24.2659279778393,NA,288.850415512465,35.7340720221607,NA,0,0
2026-06-30,NA,485,60,NA,196.149584487535,24.2659279778393,NA,288.850415512465,35.7340720221607,NA,0,0
2026-09-30,NA,485,60,NA,196.149584487535,24.2659279778393,NA,288.850415512465,35.7340720221607,NA,0,0
