"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,3,NA,NA,2,NA,NA,1,NA,NA,0,NA,NA
2021-06-30,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2021-09-30,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA
2021-12-31,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2022-03-31,2,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA
2022-06-30,7,NA,NA,6,NA,NA,0,NA,NA,1,NA,NA
2022-09-30,8,NA,NA,8,NA,NA,0,NA,NA,0,NA,NA
2022-12-31,8,NA,NA,7,NA,NA,0,NA,NA,1,NA,NA
2023-03-31,3,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA
2023-06-30,8,NA,NA,7,NA,NA,1,NA,NA,0,NA,NA
2023-09-30,18,NA,NA,17,NA,NA,0,NA,NA,1,NA,NA
2023-12-31,75,NA,NA,67,NA,NA,4,NA,NA,4,NA,NA
2024-03-31,39,NA,NA,31,NA,NA,4,NA,NA,4,NA,NA
2024-06-30,23,NA,NA,21,NA,NA,1,NA,NA,1,NA,NA
2024-09-30,46,NA,NA,41,NA,NA,2,NA,NA,3,NA,NA
2024-12-31,58,NA,NA,46,NA,NA,7,NA,NA,5,NA,NA
2025-03-31,111,NA,NA,98,NA,NA,9,NA,NA,4,NA,NA
2025-06-30,53,53,53,49,49,49,4,4,4,0,0,0
2025-09-30,NA,111,18,NA,102.622641509434,16.6415094339623,NA,8.37735849056604,1.35849056603774,NA,0,0
2025-12-30,NA,111,18,NA,102.622641509434,16.6415094339623,NA,8.37735849056604,1.35849056603774,NA,0,0
2026-03-30,NA,111,18,NA,102.622641509434,16.6415094339623,NA,8.37735849056604,1.35849056603774,NA,0,0
2026-06-30,NA,111,18,NA,102.622641509434,16.6415094339623,NA,8.37735849056604,1.35849056603774,NA,0,0
2026-09-30,NA,111,18,NA,102.622641509434,16.6415094339623,NA,8.37735849056604,1.35849056603774,NA,0,0
