"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,63,NA,NA,10,NA,NA,35,NA,NA,18,NA,NA
2021-06-30,47,NA,NA,8,NA,NA,37,NA,NA,2,NA,NA
2021-09-30,50,NA,NA,31,NA,NA,12,NA,NA,7,NA,NA
2021-12-31,60,NA,NA,38,NA,NA,15,NA,NA,7,NA,NA
2022-03-31,67,NA,NA,44,NA,NA,14,NA,NA,9,NA,NA
2022-06-30,52,NA,NA,39,NA,NA,8,NA,NA,5,NA,NA
2022-09-30,52,NA,NA,38,NA,NA,9,NA,NA,5,NA,NA
2022-12-31,95,NA,NA,49,NA,NA,31,NA,NA,15,NA,NA
2023-03-31,90,NA,NA,35,NA,NA,30,NA,NA,25,NA,NA
2023-06-30,57,NA,NA,30,NA,NA,14,NA,NA,13,NA,NA
2023-09-30,217,NA,NA,75,NA,NA,63,NA,NA,79,NA,NA
2023-12-31,787,NA,NA,268,NA,NA,424,NA,NA,95,NA,NA
2024-03-31,496,NA,NA,155,NA,NA,286,NA,NA,55,NA,NA
2024-06-30,247,NA,NA,66,NA,NA,169,NA,NA,12,NA,NA
2024-09-30,71,NA,NA,19,NA,NA,39,NA,NA,13,NA,NA
2024-12-31,310,NA,NA,78,NA,NA,160,NA,NA,72,NA,NA
2025-03-31,600,NA,NA,160,NA,NA,375,NA,NA,65,NA,NA
2025-06-30,770,770,770,267,267,267,503,503,503,0,0,0
2025-09-30,NA,787,71,NA,272.894805194805,24.6194805194805,NA,514.105194805195,46.3805194805195,NA,0,0
2025-12-30,NA,787,71,NA,272.894805194805,24.6194805194805,NA,514.105194805195,46.3805194805195,NA,0,0
2026-03-30,NA,787,71,NA,272.894805194805,24.6194805194805,NA,514.105194805195,46.3805194805195,NA,0,0
2026-06-30,NA,545.72868679702,71,NA,189.233193993252,24.6194805194805,NA,356.495492803768,46.3805194805195,NA,0,0
2026-09-30,NA,469,71,NA,162.627272727273,24.6194805194805,NA,306.372727272727,46.3805194805195,NA,0,0
