"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,18,NA,NA,9,NA,NA,0,NA,NA,9,NA,NA
2021-06-30,19,NA,NA,7,NA,NA,6,NA,NA,6,NA,NA
2021-09-30,21,NA,NA,14,NA,NA,5,NA,NA,2,NA,NA
2021-12-31,18,NA,NA,6,NA,NA,4,NA,NA,8,NA,NA
2022-03-31,18,NA,NA,13,NA,NA,2,NA,NA,3,NA,NA
2022-06-30,18,NA,NA,11,NA,NA,1,NA,NA,6,NA,NA
2022-09-30,38,NA,NA,28,NA,NA,1,NA,NA,9,NA,NA
2022-12-31,25,NA,NA,14,NA,NA,6,NA,NA,5,NA,NA
2023-03-31,13,NA,NA,9,NA,NA,1,NA,NA,3,NA,NA
2023-06-30,18,NA,NA,7,NA,NA,1,NA,NA,10,NA,NA
2023-09-30,40,NA,NA,28,NA,NA,2,NA,NA,10,NA,NA
2023-12-31,97,NA,NA,36,NA,NA,11,NA,NA,50,NA,NA
2024-03-31,54,NA,NA,45,NA,NA,3,NA,NA,6,NA,NA
2024-06-30,16,NA,NA,11,NA,NA,2,NA,NA,3,NA,NA
2024-09-30,39,NA,NA,38,NA,NA,0,NA,NA,1,NA,NA
2024-12-31,117,NA,NA,109,NA,NA,8,NA,NA,0,NA,NA
2025-03-31,149,NA,NA,134,NA,NA,12,NA,NA,3,NA,NA
2025-06-30,77,77,77,67,67,67,10,10,10,0,0,0
2025-09-30,NA,149,16,NA,129.649350649351,13.9220779220779,NA,19.3506493506493,2.07792207792208,NA,0,0
2025-12-30,NA,149,16,NA,129.649350649351,13.9220779220779,NA,19.3506493506493,2.07792207792208,NA,0,0
2026-03-30,NA,149,16,NA,129.649350649351,13.9220779220779,NA,19.3506493506493,2.07792207792208,NA,0,0
2026-06-30,NA,149,16,NA,129.649350649351,13.9220779220779,NA,19.3506493506493,2.07792207792208,NA,0,0
2026-09-30,NA,149,16,NA,129.649350649351,13.9220779220779,NA,19.3506493506493,2.07792207792208,NA,0,0
