"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,190,NA,NA,181,NA,NA,7,NA,NA,2,NA,NA
2021-06-30,143,NA,NA,134,NA,NA,5,NA,NA,4,NA,NA
2021-09-30,91,NA,NA,79,NA,NA,8,NA,NA,4,NA,NA
2021-12-31,69,NA,NA,57,NA,NA,10,NA,NA,2,NA,NA
2022-03-31,34,NA,NA,24,NA,NA,7,NA,NA,3,NA,NA
2022-06-30,123,NA,NA,104,NA,NA,16,NA,NA,3,NA,NA
2022-09-30,204,NA,NA,125,NA,NA,74,NA,NA,5,NA,NA
2022-12-31,222,NA,NA,144,NA,NA,71,NA,NA,7,NA,NA
2023-03-31,151,NA,NA,93,NA,NA,51,NA,NA,7,NA,NA
2023-06-30,144,NA,NA,132,NA,NA,3,NA,NA,9,NA,NA
2023-09-30,1342,NA,NA,1321,NA,NA,3,NA,NA,18,NA,NA
2023-12-31,1825,NA,NA,1718,NA,NA,26,NA,NA,81,NA,NA
2024-03-31,126,NA,NA,113,NA,NA,7,NA,NA,6,NA,NA
2024-06-30,178,NA,NA,166,NA,NA,1,NA,NA,11,NA,NA
2024-09-30,985,NA,NA,944,NA,NA,10,NA,NA,31,NA,NA
2024-12-31,1454,NA,NA,1411,NA,NA,12,NA,NA,31,NA,NA
2025-03-31,1404,NA,NA,1329,NA,NA,52,NA,NA,23,NA,NA
2025-06-30,837,837,837,779,779,779,58,58,58,0,0,0
2025-09-30,NA,1825,126,NA,1698.53643966547,117.268817204301,NA,126.463560334528,8.73118279569892,NA,0,0
2025-12-30,NA,1825,126,NA,1698.53643966547,117.268817204301,NA,126.463560334528,8.73118279569892,NA,0,0
2026-03-30,NA,1793.70795666791,126,NA,1669.41278165389,117.268817204301,NA,124.295175014025,8.73118279569892,NA,0,0
2026-06-30,NA,1258,126,NA,1170.82676224612,117.268817204301,NA,87.1732377538829,8.73118279569892,NA,0,0
2026-09-30,NA,1258,126,NA,1170.82676224612,117.268817204301,NA,87.1732377538829,8.73118279569892,NA,0,0
