"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-09-30,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
2022-03-31,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA
2022-09-30,3,NA,NA,2,NA,NA,0,NA,NA,1,NA,NA
2022-12-31,19,NA,NA,2,NA,NA,9,NA,NA,8,NA,NA
2023-03-31,16,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA
2023-06-30,11,NA,NA,8,NA,NA,0,NA,NA,3,NA,NA
2023-09-30,25,NA,NA,10,NA,NA,2,NA,NA,13,NA,NA
2023-12-31,29,NA,NA,8,NA,NA,8,NA,NA,13,NA,NA
2024-03-31,206,NA,NA,68,NA,NA,105,NA,NA,33,NA,NA
2024-06-30,136,NA,NA,36,NA,NA,84,NA,NA,16,NA,NA
2024-09-30,31,NA,NA,5,NA,NA,14,NA,NA,12,NA,NA
2024-12-31,43,NA,NA,12,NA,NA,13,NA,NA,18,NA,NA
2025-03-31,119,NA,NA,24,NA,NA,70,NA,NA,25,NA,NA
2025-06-30,207,207,207,62,62,62,145,145,145,0,0,0
2025-09-30,NA,207,25,NA,62,7.48792270531401,NA,145,17.512077294686,NA,0,0
2025-12-30,NA,207,25,NA,62,7.48792270531401,NA,145,17.512077294686,NA,0,0
2026-03-30,NA,207,25,NA,62,7.48792270531401,NA,145,17.512077294686,NA,0,0
2026-06-30,NA,207,25,NA,62,7.48792270531401,NA,145,17.512077294686,NA,0,0
2026-09-30,NA,207,25,NA,62,7.48792270531401,NA,145,17.512077294686,NA,0,0
