"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,2,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA
2021-06-30,4,NA,NA,0,NA,NA,2,NA,NA,2,NA,NA
2021-09-30,5,NA,NA,4,NA,NA,1,NA,NA,0,NA,NA
2021-12-31,2,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA
2022-03-31,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA
2022-06-30,6,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA
2022-09-30,4,NA,NA,2,NA,NA,2,NA,NA,0,NA,NA
2022-12-31,4,NA,NA,2,NA,NA,2,NA,NA,0,NA,NA
2023-03-31,5,NA,NA,4,NA,NA,1,NA,NA,0,NA,NA
2023-06-30,5,NA,NA,2,NA,NA,3,NA,NA,0,NA,NA
2023-09-30,6,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA
2023-12-31,42,NA,NA,19,NA,NA,17,NA,NA,6,NA,NA
2024-03-31,26,NA,NA,17,NA,NA,9,NA,NA,0,NA,NA
2024-06-30,24,NA,NA,10,NA,NA,12,NA,NA,2,NA,NA
2024-09-30,4,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA
2024-12-31,8,NA,NA,3,NA,NA,5,NA,NA,0,NA,NA
2025-03-31,59,NA,NA,28,NA,NA,30,NA,NA,1,NA,NA
2025-06-30,54,54,54,26,26,26,28,28,28,0,0,0
2025-09-30,NA,59,4,NA,28.4074074074074,1.92592592592593,NA,30.5925925925926,2.07407407407407,NA,0,0
2025-12-30,NA,59,4,NA,28.4074074074074,1.92592592592593,NA,30.5925925925926,2.07407407407407,NA,0,0
2026-03-30,NA,59,4,NA,28.4074074074074,1.92592592592593,NA,30.5925925925926,2.07407407407407,NA,0,0
2026-06-30,NA,59,4,NA,28.4074074074074,1.92592592592593,NA,30.5925925925926,2.07407407407407,NA,0,0
2026-09-30,NA,59,4,NA,28.4074074074074,1.92592592592593,NA,30.5925925925926,2.07407407407407,NA,0,0
