"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,3,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA
2021-06-30,5,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA
2021-09-30,3,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA
2021-12-31,3,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA
2022-03-31,3,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA
2022-06-30,5,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA
2022-09-30,13,NA,NA,2,NA,NA,3,NA,NA,8,NA,NA
2022-12-31,5,NA,NA,3,NA,NA,0,NA,NA,2,NA,NA
2023-03-31,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA
2023-06-30,5,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA
2023-09-30,28,NA,NA,5,NA,NA,18,NA,NA,5,NA,NA
2023-12-31,71,NA,NA,17,NA,NA,41,NA,NA,13,NA,NA
2024-03-31,46,NA,NA,7,NA,NA,33,NA,NA,6,NA,NA
2024-06-30,24,NA,NA,7,NA,NA,15,NA,NA,2,NA,NA
2024-09-30,32,NA,NA,3,NA,NA,18,NA,NA,11,NA,NA
2024-12-31,104,NA,NA,21,NA,NA,77,NA,NA,6,NA,NA
2025-03-31,127,NA,NA,17,NA,NA,101,NA,NA,9,NA,NA
2025-06-30,67,67,67,11,11,11,56,56,56,0,0,0
2025-09-30,NA,127,24,NA,20.8507462686567,3.94029850746269,NA,106.149253731343,20.0597014925373,NA,0,0
2025-12-30,NA,127,24,NA,20.8507462686567,3.94029850746269,NA,106.149253731343,20.0597014925373,NA,0,0
2026-03-30,NA,127,24,NA,20.8507462686567,3.94029850746269,NA,106.149253731343,20.0597014925373,NA,0,0
2026-06-30,NA,119,24,NA,19.5373134328358,3.94029850746269,NA,99.4626865671642,20.0597014925373,NA,0,0
2026-09-30,NA,116,24,NA,19.044776119403,3.94029850746269,NA,96.955223880597,20.0597014925373,NA,0,0
