"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,71,NA,NA,50,NA,NA,17,NA,NA,4,NA,NA
2021-06-30,104,NA,NA,79,NA,NA,20,NA,NA,5,NA,NA
2021-09-30,117,NA,NA,84,NA,NA,28,NA,NA,5,NA,NA
2021-12-31,104,NA,NA,79,NA,NA,21,NA,NA,4,NA,NA
2022-03-31,90,NA,NA,70,NA,NA,16,NA,NA,4,NA,NA
2022-06-30,49,NA,NA,28,NA,NA,14,NA,NA,7,NA,NA
2022-09-30,117,NA,NA,91,NA,NA,17,NA,NA,9,NA,NA
2022-12-31,109,NA,NA,83,NA,NA,17,NA,NA,9,NA,NA
2023-03-31,98,NA,NA,68,NA,NA,17,NA,NA,13,NA,NA
2023-06-30,181,NA,NA,135,NA,NA,11,NA,NA,35,NA,NA
2023-09-30,553,NA,NA,492,NA,NA,33,NA,NA,28,NA,NA
2023-12-31,517,NA,NA,390,NA,NA,84,NA,NA,43,NA,NA
2024-03-31,829,NA,NA,152,NA,NA,621,NA,NA,56,NA,NA
2024-06-30,307,NA,NA,34,NA,NA,252,NA,NA,21,NA,NA
2024-09-30,165,NA,NA,12,NA,NA,126,NA,NA,27,NA,NA
2024-12-31,962,NA,NA,81,NA,NA,670,NA,NA,211,NA,NA
2025-03-31,1172,NA,NA,231,NA,NA,834,NA,NA,107,NA,NA
2025-06-30,1333,1333,1333,303,303,303,1030,1030,1030,0,0,0
2025-09-30,NA,1333,165,NA,303,37.5056264066016,NA,1030,127.494373593398,NA,0,0
2025-12-30,NA,1333,165,NA,303,37.5056264066016,NA,1030,127.494373593398,NA,0,0
2026-03-30,NA,1333,165,NA,303,37.5056264066016,NA,1030,127.494373593398,NA,0,0
2026-06-30,NA,1333,165,NA,303,37.5056264066016,NA,1030,127.494373593398,NA,0,0
2026-09-30,NA,1333,165,NA,303,37.5056264066016,NA,1030,127.494373593398,NA,0,0
