"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,30,NA,NA,17,NA,NA,10,NA,NA,3,NA,NA
2021-06-30,25,NA,NA,12,NA,NA,10,NA,NA,3,NA,NA
2021-09-30,27,NA,NA,15,NA,NA,10,NA,NA,2,NA,NA
2021-12-31,11,NA,NA,10,NA,NA,1,NA,NA,0,NA,NA
2022-03-31,18,NA,NA,15,NA,NA,1,NA,NA,2,NA,NA
2022-06-30,17,NA,NA,15,NA,NA,2,NA,NA,0,NA,NA
2022-09-30,17,NA,NA,16,NA,NA,1,NA,NA,0,NA,NA
2022-12-31,24,NA,NA,21,NA,NA,1,NA,NA,2,NA,NA
2023-03-31,8,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA
2023-06-30,10,NA,NA,7,NA,NA,0,NA,NA,3,NA,NA
2023-09-30,23,NA,NA,16,NA,NA,1,NA,NA,6,NA,NA
2023-12-31,200,NA,NA,165,NA,NA,22,NA,NA,13,NA,NA
2024-03-31,105,NA,NA,94,NA,NA,10,NA,NA,1,NA,NA
2024-06-30,44,NA,NA,25,NA,NA,15,NA,NA,4,NA,NA
2024-09-30,62,NA,NA,38,NA,NA,19,NA,NA,5,NA,NA
2024-12-31,121,NA,NA,96,NA,NA,23,NA,NA,2,NA,NA
2025-03-31,129,NA,NA,107,NA,NA,22,NA,NA,0,NA,NA
2025-06-30,184,184,184,154,154,154,30,30,30,0,0,0
2025-09-30,NA,200,23,NA,167.391304347826,19.25,NA,32.6086956521739,3.75,NA,0,0
2025-12-30,NA,154.182268708754,23,NA,129.043855332326,19.25,NA,25.1384133764272,3.75,NA,0,0
2026-03-30,NA,109,23,NA,91.2282608695652,19.25,NA,17.7717391304348,3.75,NA,0,0
2026-06-30,NA,109,23,NA,91.2282608695652,19.25,NA,17.7717391304348,3.75,NA,0,0
2026-09-30,NA,109,23,NA,91.2282608695652,19.25,NA,17.7717391304348,3.75,NA,0,0
