"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,22,NA,NA,1,NA,NA,16,NA,NA,5,NA,NA
2021-06-30,14,NA,NA,3,NA,NA,6,NA,NA,5,NA,NA
2021-09-30,7,NA,NA,1,NA,NA,6,NA,NA,0,NA,NA
2021-12-31,17,NA,NA,1,NA,NA,15,NA,NA,1,NA,NA
2022-03-31,9,NA,NA,0,NA,NA,1,NA,NA,8,NA,NA
2022-06-30,22,NA,NA,0,NA,NA,0,NA,NA,22,NA,NA
2022-09-30,46,NA,NA,0,NA,NA,0,NA,NA,46,NA,NA
2022-12-31,19,NA,NA,2,NA,NA,0,NA,NA,17,NA,NA
2023-03-31,18,NA,NA,2,NA,NA,0,NA,NA,16,NA,NA
2023-06-30,55,NA,NA,8,NA,NA,1,NA,NA,46,NA,NA
2023-09-30,219,NA,NA,128,NA,NA,1,NA,NA,90,NA,NA
2023-12-31,255,NA,NA,176,NA,NA,8,NA,NA,71,NA,NA
2024-03-31,57,NA,NA,44,NA,NA,4,NA,NA,9,NA,NA
2024-06-30,26,NA,NA,19,NA,NA,1,NA,NA,6,NA,NA
2024-09-30,13,NA,NA,8,NA,NA,1,NA,NA,4,NA,NA
2024-12-31,28,NA,NA,16,NA,NA,2,NA,NA,10,NA,NA
2025-03-31,127,NA,NA,54,NA,NA,60,NA,NA,13,NA,NA
2025-06-30,425,425,425,52,52,52,373,373,373,0,0,0
2025-09-30,NA,425,13,NA,52,1.59058823529412,NA,373,11.4094117647059,NA,0,0
2025-12-30,NA,425,13,NA,52,1.59058823529412,NA,373,11.4094117647059,NA,0,0
2026-03-30,NA,425,13,NA,52,1.59058823529412,NA,373,11.4094117647059,NA,0,0
2026-06-30,NA,425,13,NA,52,1.59058823529412,NA,373,11.4094117647059,NA,0,0
2026-09-30,NA,425,13,NA,52,1.59058823529412,NA,373,11.4094117647059,NA,0,0
