"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,3,NA,NA,0,NA,NA,3,NA,NA,0,NA,NA
2021-06-30,4,NA,NA,0,NA,NA,3,NA,NA,1,NA,NA
2021-09-30,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
2022-03-31,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA
2022-09-30,4,NA,NA,1,NA,NA,0,NA,NA,3,NA,NA
2022-12-31,8,NA,NA,1,NA,NA,2,NA,NA,5,NA,NA
2023-03-31,15,NA,NA,1,NA,NA,0,NA,NA,14,NA,NA
2023-06-30,9,NA,NA,1,NA,NA,1,NA,NA,7,NA,NA
2023-09-30,29,NA,NA,7,NA,NA,12,NA,NA,10,NA,NA
2023-12-31,55,NA,NA,8,NA,NA,20,NA,NA,27,NA,NA
2024-03-31,254,NA,NA,21,NA,NA,153,NA,NA,80,NA,NA
2024-06-30,342,NA,NA,13,NA,NA,201,NA,NA,128,NA,NA
2024-09-30,62,NA,NA,4,NA,NA,30,NA,NA,28,NA,NA
2024-12-31,41,NA,NA,6,NA,NA,14,NA,NA,21,NA,NA
2025-03-31,146,NA,NA,8,NA,NA,67,NA,NA,71,NA,NA
2025-06-30,229,229,229,42,42,42,187,187,187,0,0,0
2025-09-30,NA,342,29,NA,62.7248908296943,5.31877729257642,NA,279.275109170306,23.6812227074236,NA,0,0
2025-12-30,NA,342,29,NA,62.7248908296943,5.31877729257642,NA,279.275109170306,23.6812227074236,NA,0,0
2026-03-30,NA,342,29,NA,62.7248908296943,5.31877729257642,NA,279.275109170306,23.6812227074236,NA,0,0
2026-06-30,NA,342,29,NA,62.7248908296943,5.31877729257642,NA,279.275109170306,23.6812227074236,NA,0,0
2026-09-30,NA,342,29,NA,62.7248908296943,5.31877729257642,NA,279.275109170306,23.6812227074236,NA,0,0
