"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,142,NA,NA,54,NA,NA,49,NA,NA,39,NA,NA
2021-06-30,194,NA,NA,65,NA,NA,55,NA,NA,74,NA,NA
2021-09-30,127,NA,NA,53,NA,NA,53,NA,NA,21,NA,NA
2021-12-31,113,NA,NA,43,NA,NA,35,NA,NA,35,NA,NA
2022-03-31,188,NA,NA,36,NA,NA,26,NA,NA,126,NA,NA
2022-06-30,131,NA,NA,35,NA,NA,37,NA,NA,59,NA,NA
2022-09-30,150,NA,NA,40,NA,NA,42,NA,NA,68,NA,NA
2022-12-31,125,NA,NA,53,NA,NA,40,NA,NA,32,NA,NA
2023-03-31,301,NA,NA,33,NA,NA,32,NA,NA,236,NA,NA
2023-06-30,220,NA,NA,21,NA,NA,18,NA,NA,181,NA,NA
2023-09-30,961,NA,NA,106,NA,NA,188,NA,NA,667,NA,NA
2023-12-31,1436,NA,NA,378,NA,NA,361,NA,NA,697,NA,NA
2024-03-31,407,NA,NA,56,NA,NA,115,NA,NA,236,NA,NA
2024-06-30,169,NA,NA,22,NA,NA,94,NA,NA,53,NA,NA
2024-09-30,72,NA,NA,2,NA,NA,34,NA,NA,36,NA,NA
2024-12-31,2197,NA,NA,86,NA,NA,640,NA,NA,1471,NA,NA
2025-03-31,1393,NA,NA,113,NA,NA,771,NA,NA,509,NA,NA
2025-06-30,856,856,856,151,151,151,705,705,705,0,0,0
2025-09-30,NA,2197,72,NA,387.554906542056,12.7009345794393,NA,1809.44509345794,59.2990654205608,NA,0,0
2025-12-30,NA,2022.51219026273,72,NA,356.774930758963,12.7009345794393,NA,1665.73725950377,59.2990654205608,NA,0,0
2026-03-30,NA,1481,72,NA,261.251168224299,12.7009345794393,NA,1219.7488317757,59.2990654205608,NA,0,0
2026-06-30,NA,1481,72,NA,261.251168224299,12.7009345794393,NA,1219.7488317757,59.2990654205608,NA,0,0
2026-09-30,NA,1481,72,NA,261.251168224299,12.7009345794393,NA,1219.7488317757,59.2990654205608,NA,0,0
