"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,80,NA,NA,74,NA,NA,2,NA,NA,4,NA,NA
2021-06-30,58,NA,NA,57,NA,NA,1,NA,NA,0,NA,NA
2021-09-30,47,NA,NA,46,NA,NA,1,NA,NA,0,NA,NA
2021-12-31,81,NA,NA,80,NA,NA,0,NA,NA,1,NA,NA
2022-03-31,85,NA,NA,82,NA,NA,0,NA,NA,3,NA,NA
2022-06-30,64,NA,NA,59,NA,NA,1,NA,NA,4,NA,NA
2022-09-30,100,NA,NA,94,NA,NA,2,NA,NA,4,NA,NA
2022-12-31,72,NA,NA,70,NA,NA,1,NA,NA,1,NA,NA
2023-03-31,47,NA,NA,40,NA,NA,1,NA,NA,6,NA,NA
2023-06-30,30,NA,NA,27,NA,NA,0,NA,NA,3,NA,NA
2023-09-30,228,NA,NA,224,NA,NA,0,NA,NA,4,NA,NA
2023-12-31,363,NA,NA,355,NA,NA,1,NA,NA,7,NA,NA
2024-03-31,68,NA,NA,67,NA,NA,0,NA,NA,1,NA,NA
2024-06-30,42,NA,NA,41,NA,NA,0,NA,NA,1,NA,NA
2024-09-30,136,NA,NA,130,NA,NA,2,NA,NA,4,NA,NA
2024-12-31,332,NA,NA,325,NA,NA,3,NA,NA,4,NA,NA
2025-03-31,821,NA,NA,797,NA,NA,22,NA,NA,2,NA,NA
2025-06-30,322,322,322,310,310,310,12,12,12,0,0,0
2025-09-30,NA,821,42,NA,790.403726708075,40.4347826086957,NA,30.5962732919255,1.56521739130435,NA,0,0
2025-12-30,NA,821,42,NA,790.403726708075,40.4347826086957,NA,30.5962732919255,1.56521739130435,NA,0,0
2026-03-30,NA,821,42,NA,790.403726708075,40.4347826086957,NA,30.5962732919255,1.56521739130435,NA,0,0
2026-06-30,NA,821,42,NA,790.403726708075,40.4347826086957,NA,30.5962732919255,1.56521739130435,NA,0,0
2026-09-30,NA,821,42,NA,790.403726708075,40.4347826086957,NA,30.5962732919255,1.56521739130435,NA,0,0
