"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,14,NA,NA,4,NA,NA,8,NA,NA,2,NA,NA
2021-06-30,17,NA,NA,5,NA,NA,11,NA,NA,1,NA,NA
2021-09-30,14,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA
2021-12-31,13,NA,NA,7,NA,NA,4,NA,NA,2,NA,NA
2022-03-31,4,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA
2022-06-30,13,NA,NA,5,NA,NA,6,NA,NA,2,NA,NA
2022-09-30,15,NA,NA,7,NA,NA,8,NA,NA,0,NA,NA
2022-12-31,26,NA,NA,13,NA,NA,10,NA,NA,3,NA,NA
2023-03-31,14,NA,NA,8,NA,NA,5,NA,NA,1,NA,NA
2023-06-30,14,NA,NA,5,NA,NA,7,NA,NA,2,NA,NA
2023-09-30,66,NA,NA,22,NA,NA,36,NA,NA,8,NA,NA
2023-12-31,139,NA,NA,49,NA,NA,69,NA,NA,21,NA,NA
2024-03-31,54,NA,NA,20,NA,NA,30,NA,NA,4,NA,NA
2024-06-30,20,NA,NA,8,NA,NA,10,NA,NA,2,NA,NA
2024-09-30,8,NA,NA,3,NA,NA,3,NA,NA,2,NA,NA
2024-12-31,24,NA,NA,13,NA,NA,10,NA,NA,1,NA,NA
2025-03-31,47,NA,NA,15,NA,NA,25,NA,NA,7,NA,NA
2025-06-30,49,49,49,16,16,16,33,33,33,0,0,0
2025-09-30,NA,129.348126011705,8,NA,42.2361227793321,2.61224489795918,NA,87.1120032323725,5.38775510204082,NA,0,0
2025-12-30,NA,34,8,NA,11.1020408163265,2.61224489795918,NA,22.8979591836735,5.38775510204082,NA,0,0
2026-03-30,NA,34,8,NA,11.1020408163265,2.61224489795918,NA,22.8979591836735,5.38775510204082,NA,0,0
2026-06-30,NA,34,8,NA,11.1020408163265,2.61224489795918,NA,22.8979591836735,5.38775510204082,NA,0,0
2026-09-30,NA,34,8,NA,11.1020408163265,2.61224489795918,NA,22.8979591836735,5.38775510204082,NA,0,0
